"","rep","omega","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","k"
"1","1","none","0.50089809786404","0.459426177495947","0.403665305626399","0.454663193662129","0.584191317941318","0.551068254486646","0.501447997996158","0.545569190141374","0.43839265672599","0.39391802076094","0.337795047251769","0.390035241579566","-0.211686283910806","-0.194697585128736","-0.0992208958390945","-0.168534921626212","0.0372279597302228","0.0412757031591008","0.0425404009751638","0.0403480212881625","-0.261676466420574","-0.240264522387897","-0.119972064414693","-0.207304351074388","4"
"2","1","0","0.50089809786404","0.459426177495947","0.403665305626399","0.454663193662129","0.584191317941318","0.551068254486646","0.501447997996158","0.545569190141374","0.43839265672599","0.39391802076094","0.337795047251769","0.390035241579566","-0.211686283910806","-0.194697585128736","-0.0992208958390945","-0.168534921626212","0.0372279597302228","0.0412757031591008","0.0425404009751638","0.0403480212881625","-0.261676466420574","-0.240264522387897","-0.119972064414693","-0.207304351074388","4"
"3","1","0.05","0.50089809786404","0.459426177495947","0.403665305626399","0.454663193662129","0.584191317941318","0.551068254486646","0.501447997996158","0.545569190141374","0.43839265672599","0.39391802076094","0.337795047251769","0.390035241579566","-0.211686283910806","-0.194697585128736","-0.0992208958390945","-0.168534921626212","0.0372279597302228","0.0412757031591008","0.0425404009751638","0.0403480212881625","-0.261676466420574","-0.240264522387897","-0.119972064414693","-0.207304351074388","4"
"4","1","0.1","0.50089809786404","0.459426177495947","0.403665305626399","0.454663193662129","0.584191317941318","0.551068254486646","0.501447997996158","0.545569190141374","0.43839265672599","0.39391802076094","0.337795047251769","0.390035241579566","-0.211686283910806","-0.194697585128736","-0.0992208958390945","-0.168534921626212","0.0372279597302228","0.0412757031591008","0.0425404009751638","0.0403480212881625","-0.261676466420574","-0.240264522387897","-0.119972064414693","-0.207304351074388","4"
"5","1","0.15","0.50089809786404","0.459426177495947","0.403665305626399","0.454663193662129","0.584191317941318","0.551068254486646","0.501447997996158","0.545569190141374","0.43839265672599","0.39391802076094","0.337795047251769","0.390035241579566","-0.211686283910806","-0.194697585128736","-0.0992208958390945","-0.168534921626212","0.0372279597302228","0.0412757031591008","0.0425404009751638","0.0403480212881625","-0.261676466420574","-0.240264522387897","-0.119972064414693","-0.207304351074388","4"
"6","1","0.2","0.454640382232122","0.459426177495947","0.403665305626399","0.439243955118156","0.632255090588424","0.551068254486646","0.501447997996158","0.561590447690409","0.354931985891902","0.39391802076094","0.337795047251769","0.362215017968204","-0.220838698969938","-0.194697585128736","-0.0992208958390945","-0.171585726645923","0.041434509935038","0.0412757031591008","0.0425404009751638","0.0417502046897675","-0.278736485346718","-0.240264522387897","-0.119972064414693","-0.212991024049769","4"
"7","1","0.25","0.454640382232122","0.359033724215608","0.423446470410368","0.412373525619366","0.632255090588424","0.592638544251447","0.57055811497527","0.598483916605047","0.354931985891902","0.257523670208055","0.336646231415784","0.31636729583858","-0.220838698969938","-0.301401937242818","-0.270768815853644","-0.264336484022134","0.041434509935038","0.0534136924272819","0.0375354760882169","0.0441278928168456","-0.278736485346718","-0.417701809906758","-0.386531854026588","-0.360990049760021","3"
"8","1","0.3","0.454640382232122","0.303953440665331","0.423446470410368","0.394013431102607","0.632255090588424","0.782051282051282","0.57055811497527","0.661621495871659","0.354931985891902","0.188634165223113","0.336646231415784","0.293404127510266","-0.220838698969938","-0.288842789442329","-0.270014252286607","-0.259898580232958","0.041434509935038","0.049346073617362","0.0366713775791597","0.0424839870438532","-0.278736485346718","-0.401158381784331","-0.379552697054669","-0.353149188061906","3"
"9","1","0.35","0.326089209023803","0.303953440665331","0.461341839451238","0.363794829713458","0.571759259259259","0.782051282051282","0.732760249385981","0.695523596898841","0.228086419753086","0.188634165223113","0.336646231415784","0.251122272130661","-0.315449383898129","-0.288454786967916","0","-0.201301390288682","0.0631159980439229","0.0484547794157731","0","0.037190259153232","-0.43290257552883","-0.404717875873369","0","-0.279206817134066","2"
"10","1","0.4","0.326089209023803","0","0.461341839451238","0.262477016158347","0.571759259259259","0","0.732760249385981","0.43483983621508","0.228086419753086","0","0.336646231415784","0.18824421705629","-0.319410878400765","0","0","-0.106470292800255","0.0631159980439229","0","0","0.021038666014641","-0.43185023397741","0","0","-0.14395007799247","2"
