"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"1","1","none","0.637159456465041","0.427538468772088","0.532348962618565","0.58311449696896","0.404213679494208","0.493664088231584","0.702245904612632","0.453719974582439","0.577982939597536","-0.0347898068332564","0.0634568275102138","0.0143335103384787","0.0427532706224812","0.0841668780405157","0.0634600743314984","-0.068809118225929","0.0809091164510411","0.00604999911255606","7"
"2","1","0","0.637159456465041","0.427538468772088","0.532348962618565","0.58311449696896","0.404213679494208","0.493664088231584","0.702245904612632","0.453719974582439","0.577982939597536","-0.0347898068332564","0.0634568275102138","0.0143335103384787","0.0427532706224812","0.0841668780405157","0.0634600743314984","-0.068809118225929","0.0809091164510411","0.00604999911255606","7"
"3","1","0.05","0.637159456465041","0.387707850506027","0.512433653485534","0.58311449696896","0.378633908127858","0.480874202548409","0.702245904612632","0.397227384603611","0.549736644608121","-0.0347898068332564","0.0455979963183765","0.00540409474256006","0.0427532706224812","0.0608884043756552","0.0518208374990682","-0.068809118225929","-0.0115130413576065","-0.0401610797917677","7"
"4","1","0.1","0.637159456465041","0.285972116282708","0.461565786373875","0.58311449696896","0.296733571109361","0.43992403403916","0.702245904612632","0.275963902323179","0.489104903467906","-0.0347898068332564","0.0686144266049285","0.0169123098858361","0.0427532706224812","0.0627571840994884","0.0527552273609848","-0.068809118225929","0.0113812281974718","-0.0287139450142286","7"
"5","1","0.15","0.637159456465041","0.279022090600445","0.458090773532743","0.58311449696896","0.325462418432156","0.454288457700558","0.702245904612632","0.244179978005287","0.47321294130896","-0.0347898068332564","0","-0.0173949034166282","0.0427532706224812","0","0.0213766353112406","-0.068809118225929","0","-0.0344045591129645","7"
"6","1","0.2","0.637159456465041","0.252410925083609","0.444785190774325","0.58311449696896","0.34220677197682","0.46266063447289","0.702245904612632","0.199944917256465","0.451095410934549","-0.0347898068332564","0","-0.0173949034166282","0.0427532706224812","0","0.0213766353112406","-0.068809118225929","0","-0.0344045591129645","7"
"7","1","0.25","0.637159456465041","0.252410925083609","0.444785190774325","0.58311449696896","0.34220677197682","0.46266063447289","0.702245904612632","0.199944917256465","0.451095410934549","-0.0347898068332564","0","-0.0173949034166282","0.0427532706224812","0","0.0213766353112406","-0.068809118225929","0","-0.0344045591129645","7"
"8","1","0.3","0.637159456465041","0.252410925083609","0.444785190774325","0.58311449696896","0.34220677197682","0.46266063447289","0.702245904612632","0.199944917256465","0.451095410934549","-0.0347898068332564","0","-0.0173949034166282","0.0427532706224812","0","0.0213766353112406","-0.068809118225929","0","-0.0344045591129645","7"
"9","1","0.35","0.599315201779583","0.252410925083609","0.425863063431596","0.666648544861162","0.34220677197682","0.504427658418991","0.544335785041472","0.199944917256465","0.372140351148968","-0.145567173177555","0","-0.0727835865887777","0.0141720771336202","0","0.00708603856681009","-0.281384405139089","0","-0.140692202569545","4"
"10","1","0.4","0.590983432249265","0.168765098235533","0.379874265242399","0.763864726481549","0.389261744966443","0.576563235723996","0.481914401393673","0.107737421121386","0.29482591125753","0","0.103569400149927","0.0517847000749636","0","0.0929774216896105","0.0464887108448052","0","-0.0145831604897625","-0.00729158024488123","3"
