"rep","method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M"
"3","gfa","0.5474781","0.5474781","0.5474781","0.4871941","0.4871941","0.4871941","0.6247875","0.6247875","0.6247875","-0.2963143","-0.2369316","-0.2666229","-0.03966123","-0.06259201","-0.05112662","-0.2993844","-0.2628704","-0.2811274"
"5","issvd","0.1901991","0.2175922","0.2038956","0.2230445","0.2393983","0.2312214","0.1657856","0.199427","0.1826063","-0.1426664","-0.5467291","-0.3446978","-0.1069326","-0.4742009","-0.2905668","-0.1176027","-0.5489136","-0.3332581"
"1","mvc","0.4479305","0.4517118","0.4498211","0.6826039","0.7004754","0.6915397","0.3333333","0.3333333","0.3333333","0","0","0","0","0","0","0","0","0"
"2","mvc","0.4479305","0.4517118","0.4498211","0.6826039","0.7004754","0.6915397","0.3333333","0.3333333","0.3333333","0","0","0","0","0","0","0","0","0"
"3","mvc","0.4479305","0.4517118","0.4498211","0.6826039","0.7004754","0.6915397","0.3333333","0.3333333","0.3333333","0","0","0","0","0","0","0","0","0"
"4","mvc","0.4479305","0.4517118","0.4498211","0.6826039","0.7004754","0.6915397","0.3333333","0.3333333","0.3333333","0","0","0","0","0","0","0","0","0"
"5","mvc","0.4479305","0.4517118","0.4498211","0.6826039","0.7004754","0.6915397","0.3333333","0.3333333","0.3333333","0","0","0","0","0","0","0","0","0"
"1","Plaid","0.5340512","0","0.2670256","0.5173602","0","0.2586801","0.5518551","0","0.2759275","0","0","0","0","0","0","0","0","0"
"1","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
