"rep","method","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M"
"1","Plaid","0.290390869353122","0.0734106962663976","0","0.12126718853984","0.677315753887762","0.116586538461538","0","0.264634097449767","0.184813756867614","0.0535714285714286","0","0.0794617284796808","0.59755063314172","0.125513961231698","0","0.361532297186709","0.517517063905952","0.834672039772061","0","0.676094551839006","0.604496551969833","0.127870622586478","0","0.366183587278155"
"2","Plaid","0.206496737120353","0","0","0.0688322457067845","0.308350895679663","0","0","0.102783631893221","0.155223474669561","0","0","0.0517411582231869","0.82936984723732","0","0","0.82936984723732","0.997559342058448","0","0","0.997559342058448","0.848649615680446","0","0","0.848649615680446"
"3","Plaid","0","0.0228571428571429","0","0.00761904761904762","0","0.08","0","0.0266666666666667","0","0.0133333333333333","0","0.00444444444444444","0","0.587772131381446","0","0.587772131381446","0","0.918005288843741","0","0.918005288843741","0","0.725792869511608","0","0.725792869511608"
"4","Plaid","0.283830982442946","0","0","0.0946103274809821","0.252632783882784","0","0","0.084210927960928","0.32382028824574","0","0","0.107940096081913","-0.44017089025721","0","0","-0.44017089025721","-0.132071003969212","0","0","-0.132071003969212","-0.456116361776628","0","0","-0.456116361776628"
"5","Plaid","0.417893834197137","0","0","0.139297944732379","0.640124705089316","0","0","0.213374901696439","0.310201701971515","0","0","0.103400567323838","0.960269123831304","0","0","0.960269123831304","0.963830185289179","0","0","0.963830185289179","0.983567608724021","0","0","0.983567608724021"
"1","spectral","0.0762873490146217","0","0.27431176867463","0.116866372563084","0.184615384615385","0","0.471315476975854","0.218643620530413","0.0480769230769231","0","0.193451549710296","0.080509490929073","0.00763866923654293","0","-0.00906616573906984","-0.000713748251263457","0.0575320499119252","0","0.0142870072874145","0.0359095285996698","0.0126148808541516","0","-0.0150225097333035","-0.00120381443957593"
"2","spectral","0.0762873490146217","0","0.312077517982406","0.129454955665676","0.184615384615385","0","0.573426573426573","0.252680652680653","0.0480769230769231","0","0.214373222685243","0.0874833819207221","-0.00195218095913701","0","0.0421102881865187","0.0200790536136909","0.0540270297111737","0","0.0205498148527908","0.0372884222819823","0.0377286864960213","0","0.0506497390408882","0.0441892127684547"
"3","spectral","0.0762873490146217","0","0.312077517982406","0.129454955665676","0.184615384615385","0","0.573426573426573","0.252680652680653","0.0480769230769231","0","0.214373222685243","0.0874833819207221","0.0207112513039809","0","-0.00839081606143331","0.00616021762127378","0.0551978847839829","0","0.00711686904387497","0.0311573769139289","0.0269088962721289","0","-0.0444887880433081","-0.0087899458855896"
"4","spectral","0.0762873490146217","0.104999682588626","0.33179871589709","0.171028582500113","0.184615384615385","0.225806451612903","0.492307692307692","0.300909842845327","0.0480769230769231","0.0684036393713813","0.250218886804253","0.122233149750852","-0.00318724462648199","-0.0480094000719303","-0.00859753752036236","-0.0199313940729249","0.0576798392372714","0.00256499072360081","0.0166083261678201","0.0256177187095641","0.0142874271045675","-0.0659093082736506","-0.00963584652568734","-0.0204192425649235"
"5","spectral","0.0762873490146217","0.120879120879121","0.288081756663444","0.161749408852396","0.184615384615385","0.423076923076923","0.538461538461538","0.382051282051282","0.0480769230769231","0.0705128205128205","0.196644042232278","0.10507792860734","0.00580398244977605","-0.0291457065659687","-0.0154497372645391","-0.0129304871269106","0.0559455886001293","-0.00249659412740707","0.0132785020337615","0.0222424988354946","-0.0201617886279591","-0.0767922245351254","-0.0445912147281818","-0.0471817426304221"
