"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Plaid","0.291241559224826","0","0","0.0970805197416087","0.686046511627907","0","0","0.228682170542636","0.184859124862633","0","0","0.0616197082875444","0.98850045525123","0","0","0.98850045525123"
"Plaid","0","0.010989010989011","0","0.00366300366300366","0","0.0384615384615385","0","0.0128205128205128","0","0.00641025641025641","0","0.00213675213675214","0","1","0","1"
"Plaid","0.0178461538461538","0","0","0.00594871794871795","0.0384615384615385","0","0","0.0128205128205128","0.0116185897435897","0","0","0.00387286324786325","0.648818780456877","0","0","0.648818780456877"
"Plaid","0","0.0407606192897141","0","0.0135868730965714","0","0.0582932692307692","0","0.0194310897435897","0","0.0313358516483516","0","0.0104452838827839","0","0.685266480602357","0","0.685266480602357"
"Plaid","0.384963534992141","0.235954221659393","0","0.206972585550511","0.482052971183406","0.398208955223881","0","0.293420642135762","0.320426916553141","0.167645265816908","0","0.162690727456683","0.377417548925584","0.812898725599432","0","0.595158137262508"
"Plaid_t","0.0351108874786748","0.0402418382166773","0","0.0251175752317841","0.040457343887423","0.0446280991735537","0","0.0283618143536589","0.0310125631439386","0.0366406241371088","0","0.0225510624270158","0.963797136372798","1","0","0.981898568186399"
"Plaid_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Plaid_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Plaid_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Plaid_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"spectral","0.200604066176802","0.161015632469643","0.144900958913698","0.168840219186714","0.244505494505494","0.53125","0.423076923076923","0.399610805860806","0.170068027210884","0.0948874521072797","0.087421033073207","0.11745883746379","0.0249680729266727","0.443097073910383","-0.0883809255472442","0.126561407096604"
"spectral","0.0762873490146217","0.120879120879121","0.317665014071681","0.171610494655141","0.184615384615385","0.423076923076923","0.613053613053613","0.406915306915307","0.0480769230769231","0.0705128205128205","0.214373222685243","0.110987655424996","0.0101398303670139","0.350753433475275","0.10940390719427","0.156765723678853"
"spectral","0.0715873721654069","0","0.197802197802198","0.0897965233225349","0.176923076923077","0","0.692307692307692","0.28974358974359","0.0448717948717949","0","0.115384615384615","0.0534188034188034","0.00345054284593154","0","0.0187758042858676","0.0111131735658996"
"spectral","0.0762873490146217","0.120879120879121","0.312077517982406","0.169747995958716","0.184615384615385","0.423076923076923","0.573426573426573","0.393706293706294","0.0480769230769231","0.0705128205128205","0.214373222685243","0.110987655424996","-0.000443141486337348","-0.0522682807929646","-0.0258599882868915","-0.0261904701887312"
"spectral","0.0762873490146217","0.176496220113848","0.312077517982406","0.188287029036959","0.184615384615385","0.305555555555556","0.573426573426573","0.354532504532505","0.0480769230769231","0.124085487422201","0.214373222685243","0.128845211061456","0.0090779503211918","-0.0734485592676836","-0.0231347179766851","-0.0291684423077256"
"spectral_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"spectral_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"spectral_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"spectral_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"spectral_t","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
