"","rep","method","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M"
"1","1","gfa","0.0575838681490958","0.0513688166283192","0.0560273512513111","0.0549933453429087","0.0501632185858424","0.0480704016263749","0.0518048325602213","0.0500128175908129","0.0675811545968338","0.0551532293420164","0.0609992939466914","0.0612445592951805","-0.204256761236932","-0.225211137002748","-0.21541835363198","-0.21496208395722","0.0754929679681416","0.0707353844880571","0.0667436630545621","0.0709906718369202","-0.255866579854841","-0.278533690268083","-0.265433322185872","-0.266611197436265"
"2","2","gfa","0.0566072370744003","0.050452937961274","0.0558849405138391","0.0543150385165045","0.0508976461398057","0.0489944844364765","0.0531157659951784","0.0510026321904869","0.0637596618947359","0.0520008851456473","0.0589587365486703","0.0582397611963511","-0.0881210738800063","-0.110587724730117","-0.111462805805503","-0.103390534805209","0.024569627296405","0.0179343107395733","0.0174508623455144","0.0199849334604976","-0.103289409002479","-0.130834626133919","-0.148045887097413","-0.127389974077937"
"3","3","gfa","0.0607029476146494","0.0533246628375751","0.0564395849413784","0.0568223984645343","0.0528893263922209","0.0491241550007586","0.0528218326761138","0.0516117713563644","0.0712254638561402","0.0583106930974829","0.0605893309495823","0.0633751626344018","-0.119529310580307","-0.122393671032386","-0.10050824768194","-0.114143743098211","0.0274621113910185","0.0283270663466971","0.0254328291371977","0.0270740022916377","-0.145947667933258","-0.146823696786895","-0.130642136773472","-0.141137833831208"
"4","4","gfa","0.0593200498977469","0.0527365613350526","0.0567066557885333","0.0562544223404443","0.0521548789365474","0.0516999681208406","0.0529078402643618","0.0522542291072499","0.0687675061732387","0.0538155727850702","0.0610931840381369","0.0612254209988153","-0.179213540358219","-0.206128562820839","-0.18906569520903","-0.191469266129363","0.0441823278117838","0.0321058254209276","0.0397993441269852","0.0386958324532322","-0.231794350552588","-0.25319210018172","-0.23353964032754","-0.239508697020616"
"5","5","gfa","0.0581062478308091","0.0511886674838166","0.0544822383979595","0.0545923845708617","0.0501490761538984","0.0476025914850277","0.0512269799887177","0.0496595492092146","0.0690647811139665","0.0553590669315215","0.0581792865517441","0.0608677115324107","-0.202829044081727","-0.218486227967455","-0.199887707943135","-0.207067659997439","0.0843136916806775","0.0701444019036239","0.0727824376082357","0.0757468437308457","-0.258733722141272","-0.273659563000953","-0.254976920133402","-0.262456735091875"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
