"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,0,0.498543326582704,0.459970224212315,0.402127227674066,0.453546926156362,0.580944564694565,0.545499898111838,0.496727718275878,0.541057393694094,0.436613957030624,0.397625914174716,0.337795047251769,0.39067830615237,-0.212291586249063,-0.201291927893999,-0.1965907448858,-0.203391419676287,0.0375503418675512,0.0277519126807748,0.0334472563378158,0.0329165036287139,-0.262272500391798,-0.250456682273779,-0.249769945337603,-0.25416637600106,4
"2",2,0,0.498766876854128,0.460685827627766,0.402127227674066,0.45385997738532,0.583189462653748,0.548746651358592,0.496727718275878,0.542887944096073,0.435695532421723,0.396979958822878,0.337795047251769,0.390156846165457,-0.212383775833404,-0.202254648276664,-0.197102714254611,-0.203913712788226,0.0374604512292418,0.0278514480935482,0.0336210831767963,0.0329776608331954,-0.262628650792003,-0.250818594328522,-0.250035905062467,-0.254494383394331,4
"3",3,0,0.498608680947566,0.458421399370213,0.403665305626399,0.453565128648059,0.58203445519622,0.545541523153463,0.501447997996158,0.543007992115281,0.436100339480112,0.395294877869505,0.337795047251769,0.389730088200462,-0.212435446179512,-0.202081087184467,-0.199610265296228,-0.204708932886736,0.0370094764523173,0.0283556676181758,0.0328856025877308,0.0327502488860746,-0.26185308836021,-0.250799034472929,-0.254334075671862,-0.255662066168334,4
"4",4,0,0.50089809786404,0.459046597489445,0.406052676879173,0.455332457410886,0.584191317941318,0.547085521790485,0.510638777950766,0.54730520589419,0.43839265672599,0.395415022770938,0.337025126543496,0.390277602013475,-0.212343136163734,-0.202464594846409,-0.199040975704102,-0.204616235571415,0.037248505721896,0.0277698149171707,0.0322718472218851,0.0324300559536506,-0.261727710860947,-0.252294042981126,-0.253537996023838,-0.255853249955304,4
"5",5,0,0.500750033093684,0.453902683090595,0.470330914090037,0.474994543424772,0.582438334083071,0.537705426501577,0.544316240527559,0.554820000370736,0.439157232468636,0.392699481063582,0.414051603035703,0.415302772189307,-0.212016079262469,-0.203249991828732,-0.210683886580777,-0.208649985890659,0.0369221068775512,0.0277682010431913,0.0319818600507786,0.0322240559905071,-0.260868164384056,-0.251965966309291,-0.270322111352752,-0.261052080682033,4
"6",1,50,0.421037737160143,0.419042838105958,0.379054697348955,0.406378424205019,0.422438563146976,0.458903783845554,0.455392195994536,0.445578180995688,0.419646170876376,0.385553212955036,0.324635905738941,0.376611763190118,-0.229981318008187,-0.165796279525766,-0.232788701174496,-0.209522099569483,0.0357567724904089,0.00981623603260169,0.0332101505204255,0.0262610530144787,-0.295462334447905,-0.206527015850303,-0.300390436998164,-0.267459929098791,7
"7",2,50,0.443597848837357,0.423268771945967,0.392596314222417,0.419820978335247,0.438639966938453,0.448927174708421,0.431087576522229,0.439551572723034,0.448669088395116,0.400384805085373,0.360415290591577,0.403156394690689,-0.196894676471027,-0.220786801999405,-0.225994337912268,-0.2145586054609,0.0125368046645019,0.027745729946806,0.0370017501135414,0.0257614282416164,-0.245219390282328,-0.274469870156762,-0.288903529643227,-0.269530930027439,7
"8",3,50,0.498075814292707,0.387353829080118,0.413228258936035,0.432885967436287,0.511722277688736,0.430062591241223,0.479366312699646,0.473717060543202,0.485138285207596,0.352361432778353,0.363127628242007,0.400209115409319,-0.146293641901374,-0.218754258557362,-0.223946912567396,-0.196331604342044,0.0128415221298485,0.0274879047919495,0.0224435183979205,0.0209243151065728,-0.173180481595021,-0.273248140764024,-0.28793353999294,-0.244787387450662,6
"9",4,50,0.462963226039909,0.487618216667207,0.453628469315736,0.468069970674284,0.543191646235298,0.585695955498187,0.565870735196252,0.564919445643246,0.403384123226618,0.417676227818932,0.378543214818243,0.399867855287931,-0.215071091808267,-0.209348872728794,-0.227670318013496,-0.217363427516852,0.0361780659772246,0.0254236743572493,0.0287455414058756,0.0301157605801165,-0.269734801404357,-0.258817617807163,-0.292538238844972,-0.273696886018831,4
"10",5,50,0.509619164146334,0.455434679405665,0.413799192197295,0.459617678583098,0.471185269290094,0.467105885141491,0.427095712020586,0.455128955484057,0.554879908603008,0.444332494393359,0.401305581356623,0.466839328117663,-0.236391080275851,-0.231516502051185,-0.186630010447085,-0.218179197591374,0.0370706609838593,0.0284002055935342,0.0223716543930527,0.0292808403234821,-0.294300425291725,-0.287183933913876,-0.237700004844162,-0.273061454683254,8
"11",1,100,0.484233025793749,0.474526447425794,0.478917079458955,0.4792255175595,0.458024893328652,0.462259068299507,0.480439044430582,0.466907668686247,0.513622443792713,0.487462677085319,0.477404726789277,0.492829949222436,-0.240940517005521,-0.226296324988526,-0.173878852547603,-0.213705231513883,0.0388544540494003,0.0356359792276153,0.0180348841796471,0.0308417724855542,-0.306781748736479,-0.280729436607798,-0.221714707651866,-0.269741964332047,8
"12",2,100,0.444561897581677,0.425252272194121,0.408933299224496,0.426249156333431,0.418469003071551,0.419575596098046,0.414117637504329,0.417387412224642,0.474125131539395,0.431084660953082,0.403877161453853,0.43636231798211,-0.154040996254529,-0.188956580126734,-0.238927471334613,-0.193975015905292,0.00445444837593382,0.0121477869917919,0.0384084972775886,0.0183369108817715,-0.193062769992203,-0.239520599088609,-0.308408062461803,-0.246997143847538,9
"13",3,100,0.447927752292502,0.42242791634816,0.372507179979484,0.414287616206715,0.442517074483269,0.459281664083986,0.447589600126522,0.449796112897926,0.45347238116984,0.391049281615028,0.318996107050099,0.387839256611656,-0.167955299115352,-0.223274311571042,-0.224794066376653,-0.205341225687682,0.0166585431100498,0.0302414769986009,0.0329699410075932,0.0266233203720813,-0.218335894155513,-0.279936806560635,-0.290544285769943,-0.262938995495363,7
"14",4,100,0.424630653070977,0.408769384897699,0.402149846557103,0.411849961508593,0.442942641153292,0.443588190461612,0.500581171465037,0.462370667693314,0.407772651079088,0.379018854802035,0.33606751530722,0.374286340396115,-0.131006970178611,-0.221926994758062,-0.230978220483435,-0.194637395140036,0.00924394278840162,0.0299189735441295,0.0293661474932732,0.0228430212752681,-0.177082083995828,-0.278212205015294,-0.298110287982336,-0.251134858997819,6
"15",5,100,0.481929366802859,0.450937197484117,0.470486246161559,0.467784270149512,0.449936398347415,0.471308919012468,0.489176598777611,0.470140638712498,0.518820366701723,0.432253592199563,0.453171565972916,0.468081841624734,-0.237267616888495,-0.157254524421749,-0.222466002981942,-0.205662714764062,0.0419642911009158,0.00517869186385725,0.0290305197659425,0.0253911675769052,-0.298098210002399,-0.196011531752388,-0.284526030159212,-0.259545257304667,8
"16",1,150,0.421398804861707,0.430507289768498,0.416127642512232,0.422677912380812,0.424629174449086,0.435359002768893,0.420462658547487,0.426816945255155,0.418217214308553,0.425762521547931,0.411881103251452,0.418620279702646,-0.174678061939046,-0.223867503601821,-0.231358037236435,-0.209967867592434,0.0160332905648286,0.0406937511117611,0.0417943009135861,0.0328404475300586,-0.229735055348233,-0.276007578659729,-0.297958477024703,-0.267900370344221,7
"17",2,150,0.467689016736013,0.469551685449179,0.456264357623221,0.464501686602804,0.464826237176157,0.46725097357925,0.455499422591165,0.462525544448857,0.470587277486742,0.471875166529255,0.457031866137691,0.466498103384563,-0.170399623306986,-0.213182492886276,-0.222829597066783,-0.202137237753348,-0.0040261102237459,0.0358567268838188,0.0335380647515654,0.0217895604705461,-0.219019963420035,-0.26657656744114,-0.287960876285008,-0.257852469048728,7
"18",3,150,0.470052431939188,0.418040180053655,0.444705194272597,0.444265935421813,0.468882758965712,0.441034166004808,0.463441300537862,0.45778607516946,0.471227955229476,0.397325035968854,0.427425156554013,0.431992715917448,-0.169758304957426,-0.224962730201199,-0.230048182640843,-0.208256405933156,0.0182550833237315,0.0349884796009349,0.0317569487585073,0.0283335038943912,-0.219960508327496,-0.27648052196038,-0.30177132618525,-0.266070785491042,7
"19",4,150,0.490759127142655,0.498382766647707,0.487059903658171,0.492067265816177,0.466269150917762,0.47245549929161,0.463826145553561,0.467516931920977,0.51796430123043,0.527320921757264,0.512744033267332,0.519343085418342,-0.178990716601041,-0.156907012513375,-0.229756800056056,-0.188551509723491,-0.000927700243240984,0.0158785120981417,0.0363094672515074,0.017086759702136,-0.226844197615268,-0.198986552914462,-0.29663939360665,-0.240823381378793,8
"20",5,150,0.533648117142052,0.497750415347521,0.48444207835851,0.505280203616028,0.632121097259659,0.595396029874214,0.572506150686168,0.600007759273347,0.461720459833667,0.427620221036413,0.419858570442454,0.436399750437511,-0.141801842822313,-0.0971225741811298,-0.219864980765523,-0.152929799256322,0.00699513731967679,0.0208714930375795,0.0297297035931399,0.0191987779834654,-0.181869170846947,-0.118324446565118,-0.280543718572727,-0.193579111994931,4
"21",1,200,0.43674940095149,0.442986672864251,0.429352159810915,0.436362744542218,0.45990613417084,0.466127853627854,0.452976025749998,0.459670004516231,0.415812810614532,0.422034530071546,0.408070245901782,0.415305862195953,-0.125234041624326,-0.219303199899353,-0.229938562059781,-0.19149193452782,0.00131539129783263,0.0351168473084813,0.0347297813849602,0.0237206733304247,-0.170388651970501,-0.272844139395666,-0.295032508839526,-0.246088433401898,6
"22",2,200,0.472184337337155,0.476024904971302,0.462285756691222,0.470164999666559,0.470082925421628,0.473630584096875,0.460940697451409,0.468218068989971,0.474304621502594,0.478443556623715,0.463638688870672,0.47212895566566,-0.172281830998112,-0.21570604407473,-0.227789850579971,-0.205259241884271,0.00525746635223046,0.0355409340189894,0.0334782625337206,0.0247588876349801,-0.225144590283184,-0.269033815141475,-0.293747639391874,-0.262642014938844,7
"23",3,200,0.503587862672869,0.509074967916645,0.492225967962198,0.501629599517237,0.606427179406429,0.613279528690488,0.592238804708587,0.603981837601835,0.430570693534838,0.435138926390877,0.42111177706961,0.428940465665108,-0.185399792329459,-0.214871610395945,-0.230127955930077,-0.210133119551827,0.012255841282797,0.026900619988525,0.0303599715549544,0.0231721442754255,-0.222427393681748,-0.26769848902427,-0.298067518557264,-0.262731133754427,4
"24",4,200,0.419533578545373,0.430240105638252,0.415353955861867,0.421709213348497,0.423477317610478,0.434812868822357,0.419458462216985,0.425916216216606,0.415662615856494,0.425762521547931,0.411328998351521,0.417584711918649,-0.186670478457999,-0.223852194214969,-0.230715445986319,-0.213746039553096,0.0268701204901317,0.0403169516656601,0.0420577393327405,0.0364149371628441,-0.241777535904784,-0.276112158926407,-0.297410910819218,-0.271766868550136,7
"25",5,200,0.455032537926657,0.454862124690846,0.442960148093447,0.450951603570317,0.443455557711723,0.443894903813382,0.432636200799142,0.439995554108082,0.467230185513768,0.466385003885004,0.453788858803215,0.462468016067329,-0.161674530475843,-0.165198290402162,-0.222543437867393,-0.183138752915132,0.0152382124654563,0.0279277474555976,0.0402132911266929,0.0277930836825823,-0.203513160277349,-0.215898325052209,-0.28761519060467,-0.235675558644743,8
"26",1,250,0.453473633672188,0.456576255068372,0.446104263883887,0.452051384208149,0.436968718957379,0.439653454757787,0.431566382812019,0.436062852175728,0.471274318472291,0.474853966206167,0.461655744674613,0.46926134311769,-0.199554511715971,-0.185532444188113,-0.231808488219221,-0.205631814707768,0.0121247748477529,0.0207758321551155,0.0469627828354223,0.0266211299460969,-0.255730382486018,-0.235249559635339,-0.298094411181417,-0.263024784434258,8
"27",2,250,0.434374394898422,0.435021472943209,0.430313535817857,0.433236467886496,0.416402754598159,0.417534269759781,0.414258453944125,0.416065159434022,0.453967293396107,0.45403750761037,0.447663260942006,0.451889353982828,-0.164829257636251,-0.150608309127344,-0.233478344425075,-0.182971970396223,-0.00400814539382935,0.0143628878277404,0.039854220763744,0.016736321065885,-0.21051081997578,-0.184697587976137,-0.299000008664454,-0.231402805538791,9
"28",3,250,0.437867179241925,0.437867179241925,0.439356748307933,0.438363702263928,0.459213987944427,0.459213987944427,0.461967784322016,0.46013192007029,0.4184168475095,0.4184168475095,0.418855829072275,0.418563174697092,-0.228238170623462,-0.216402300209245,-0.156930593159622,-0.200523687997443,0.0331850333418714,0.0344298825049275,0.0190410293952022,0.028885315080667,-0.295921002938022,-0.268362688459846,-0.208817277078734,-0.257700322825534,6
"29",4,250,0.511124672269486,0.516643434878391,0.496704717752479,0.508157608300118,0.610521039905368,0.617409673659674,0.592522795831619,0.606817836465554,0.439561508311267,0.444153930814138,0.427562678928768,0.437092706018058,-0.195757774331363,-0.0843430670444162,-0.202301544814602,-0.160800795396794,0.026106518995152,0.0116545730945796,0.030236925817958,0.0226660059692299,-0.246113369306827,-0.107241530802957,-0.259692760976456,-0.20434922036208,4
"30",5,250,0.419998504043906,0.416682417246527,0.417894226843865,0.418191716044766,0.421852438758577,0.418229603681843,0.4198909248468,0.41999098909574,0.418160793177359,0.415146635852756,0.415916428674435,0.416407952568183,-0.233139390840892,-0.184086495003455,-0.230903216525367,-0.216043034123238,0.0374582971032818,0.0150560563550293,0.039309153272318,0.0306078355768764,-0.299877972735063,-0.231968415032316,-0.299303874931622,-0.277050087566333,7
"31",1,300,0.421130830911466,0.422949084765645,0.420281721936143,0.421453879204418,0.427009771787132,0.428684354663761,0.425789863533975,0.427161329994956,0.415411570548637,0.417365250571371,0.414914270179214,0.415897030433074,-0.184293593395458,-0.21768907343397,-0.225697478301731,-0.20922671504372,0.0170113942622677,0.0395179762074263,0.0400738131951979,0.0322010612216306,-0.239761919854037,-0.267516113920662,-0.291702994663052,-0.26632700947925,7
