"","","3sources","3sources","3sources","BBCSport","BBCSport","BBCSport","A549","A549","A549","3cancers","3cancers","3cancers"
"Euclidean","E",0.424655341684795,450,7,0.471928452629435,1550,6,0.427805876217458,32000,5,"0.492702373656101","28000","3"
"Euclidean","C",0.420343660915195,400,7,0.472235719049872,400,4,0.454793083876433,12000,3,"0.492726198308471","40000","3"
"Euclidean","M",0.424655341684795,450,7,0.471928452629435,1550,6,0.416848991847511,12000,5,"0.492702373656101","28000","3"
"Euclidean","F",0.50632963810633,1650,4,0.628951310631803,550,6,0.480399830560395,27000,5,"0.494109915744923","2000","3"
"Cosine","E",0.44979841291574,1350,7,0.496646051492223,1550,5,0.455307253687893,12000,3,"0.49378785104552","2000","3"
"Cosine","C",0.427921668439746,950,9,0.539338469671582,1350,4,0.351724845766187,6000,3,"0.553908430802979","38000","0"
"Cosine","M",0.490426929590732,50,4,0.496723918042809,1600,5,0.427441475075256,32000,3,"0.493565696411575","39000","0"
"Cosine","F",0.506012380431818,300,8,0.621077157752246,500,6,0.490725049846619,10000,3,"0.554080333443249","37000","0"
"Manhattan","E",0.404942661957336,1900,6,0.448319938348157,150,4,0.239666426984917,30000,5,"0.491708391767517","12000","0"
"Manhattan","C",0.410572866687947,1050,8,0.531102866692017,250,4,0.33934419107589,2000,3,"0.492553693289357","12000","0"
"Manhattan","M",0.404942661957336,1900,6,0.49840331924862,1300,5,0.236352887450552,27000,6,"0.491708391767517","12000","0"
"Manhattan","F",0.51635215924681,1850,8,0.632813317071195,600,7,0.47271390862302,29000,5,"0.494879019057807","2000","0"
