"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"1","1","none","0.554931715995112","0.471269977816997","0.513100846906054","0.493390554425594","0.418960400097035","0.456175477261314","0.634012856223753","0.53850542917063","0.586259142697191","0.0581611547865259","0.214415205214139","0.136288180000332","0.0240425975434688","0.111775752763532","0.0679091751535006","-0.0492131069746175","0.251500662301463","0.101143777663423","9"
"2","1","0","0.554931715995112","0.471269977816997","0.513100846906054","0.493390554425594","0.418960400097035","0.456175477261314","0.634012856223753","0.53850542917063","0.586259142697191","0.0707206468655496","0.214415205214139","0.142567926039844","0.0323382177071764","0.111775752763532","0.0720569852353544","-0.0281678178375658","0.251500662301463","0.111666422231948","9"
"3","1","0.05","0.554931715995112","0.471269977816997","0.513100846906054","0.493390554425594","0.418960400097035","0.456175477261314","0.634012856223753","0.53850542917063","0.586259142697191","0.069252543789157","0.214415205214139","0.141833874501648","0.0260217400091493","0.111775752763532","0.0688987463863409","-0.00340221366542836","0.251500662301463","0.124049224318017","9"
"4","1","0.1","0.554931715995112","0.396385295576286","0.475658505785699","0.493390554425594","0.380563349935488","0.436976952180541","0.634012856223753","0.413579906677671","0.523796381450712","0.060225876783867","0","0.060225876783867","0.0297531000918194","0","0.0297531000918194","-0.035403586127431","0","-0.035403586127431","9"
"5","1","0.15","0.577288799451704","0.397671521890374","0.487480160671039","0.529881223545643","0.410311818448052","0.470096520996847","0.634012856223753","0.385786758128951","0.509899807176352","0.0732824672738237","0","0.0732824672738237","0.03477806576344","0","0.03477806576344","-0.00282608741951611","0","-0.00282608741951611","8"
"6","1","0.2","0.614278385262867","0.397671521890374","0.505974953576621","0.595735351200954","0.410311818448052","0.503023584824503","0.634012856223753","0.385786758128951","0.509899807176352","0.0982162009521408","0","0.0982162009521408","0.0429293496758429","0","0.0429293496758429","-0.021983956873818","0","-0.021983956873818","6"
"7","1","0.25","0.533588635089218","0.410584092610473","0.472086363849845","0.597440312703934","0.520707763608183","0.559074038156058","0.482067476500596","0.338908800208824","0.41048813835471","0","0","0","0","0","0","0","0","0","4"
"8","1","0.3","0.379305783424573","0.349155749322627","0.3642307663736","0.572382478632479","0.566108374384236","0.569245426508358","0.283631043817712","0.252419663086045","0.268025353451879","0","0","0","0","0","0","0","0","0","2"
"9","1","0.35","0.255954129521862","0.136152571311973","0.196053350416918","0.721153846153846","0.28","0.500576923076923","0.155587938312596","0.0899444408223903","0.122766189567493","0.189449058409294","0.249243192062969","0.219346125236131","0.102302226434456","0.15505734873347","0.128679787583963","0.118073187246209","0.187192013141748","0.152632600193979","1"
"10","1","0.4","0.255954129521862","0","0.127977064760931","0.721153846153846","0","0.360576923076923","0.155587938312596","0","0.0777939691562982","0.212010196076533","0","0.212010196076533","0.111600413237803","0","0.111600413237803","0.154425631504662","0","0.154425631504662","1"
