"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0.603892251052484,0.492523934376774,0.548208092714629,0.549783823734151,0.437430897427726,0.493607360580938,0.669813739612241,0.563494251783838,0.61665399569804,0.0585224271199443,0.217914979133714,0.138218703126829,0.0257670699515522,0.123376889030499,0.0745719794910256,0.0591353682445801,0.257573375179651,0.158354371712116,8
"2",2,0,0.66806784523301,0.447624352366096,0.557846098799553,0.642729536180731,0.433523325132371,0.538126430656551,0.695485969732667,0.462673536004679,0.579079752868673,0.0683366449462838,0.309520360407922,0.188928502677103,0.0293735161109306,0.135631019565326,0.0825022678381285,0.0780698067525556,0.359408636977954,0.218739221865255,6
"3",3,0,0.673377038950049,0.463873009655974,0.568625024303011,0.647583425784548,0.441186249013261,0.544384837398904,0.701310637257247,0.489019458411872,0.59516504783456,0.0647471163000882,0.286369349813008,0.175558233056548,0.0275429095801073,0.125424973518716,0.0764839415494115,0.0731507336306874,0.329406828409603,0.201278781020145,6
"4",4,0,0.636398035809307,0.54280188325121,0.589599959530258,0.582465508882786,0.491261566448785,0.536863537665785,0.701337321291988,0.606424419224214,0.653880870258101,0.0548966266573488,0.260554336347846,0.157725481502597,0.021250069927314,0.10690132710773,0.064075698517522,0.0641661523761854,0.28782845926633,0.175997305821258,7
"5",5,0,0.612986629577096,0.489819026935304,0.5514028282562,0.5508252589051,0.435144945455081,0.492985102180091,0.690962698641447,0.560206559661054,0.62558462915125,0.0621917864055213,0.215615792911309,0.138903789658415,0.0311035048529679,0.121636317694072,0.0763699112735198,0.0681362503089954,0.253564785287154,0.160850517798075,8
"6",1,50,0.61292676198464,0.449957811376168,0.531442286680404,0.551955530721696,0.400901090408463,0.476428310565079,0.689041007172134,0.512694227579175,0.600867617375655,0.0662673238619359,0.210589967037693,0.138428645449814,0.0345118087338584,0.0992402059879985,0.0668760073609284,0.0745604152143053,0.273213644708273,0.173887029961289,8
"7",2,50,0.611426074394984,0.497179521334612,0.554302797864798,0.552327295240613,0.440649854456448,0.49648857484853,0.684687318141839,0.570347747396574,0.627517532769206,0.0630173475887886,0.305180661212291,0.18409900440054,0.0304150750720418,0.143620303129759,0.0870176891009005,0.0637119049559282,0.366650672665816,0.215181288810872,8
"8",3,50,0.604104882520313,0.496379131042364,0.550242006781339,0.547323981102938,0.439755083763515,0.493539532433226,0.674030687613983,0.569740442729004,0.621885565171494,0.0602672013404275,0.305503591279161,0.182885396309794,0.0303641071679404,0.14416812609304,0.0872661166304903,0.0492096272141342,0.365692111556586,0.20745086938536,8
"9",4,50,0.566892706808864,0.486905958321983,0.526899332565423,0.487612869767109,0.41344857054575,0.450530720156429,0.676957672937125,0.592105274079718,0.634531473508421,0.0633551294125905,0.253559705930359,0.158457417671475,0.0295723346192733,0.163815615023353,0.0966939748213133,0.0645386501482274,0.318684671279825,0.191611660714026,10
"10",5,50,0.641047912876422,0.493740679353724,0.567394296115073,0.586605251519887,0.451474131483181,0.519039691501534,0.706630039615793,0.5447385466838,0.625684293149796,0.0596585176315322,0.361627705972789,0.210643111802161,0.0310914098742903,0.154812893878443,0.0929521518763665,0.0665575566236099,0.411871366575232,0.239214461599421,7
