"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,0,0.46724100431632,0.460659866171942,0.404732175736793,0.444211015408352,0.458009648455873,0.465173391846478,0.434260858301605,0.452481299534652,0.476852137596613,0.4562330872781,0.378963574058603,0.437349599644439,-0.223935415558197,-0.219904907671758,-0.230814005262321,-0.224884776164092,0.0338193038137817,0.0299441799464157,0.0401595976674036,0.0346410271425337,-0.278876092248373,-0.272095058403209,-0.296572775806301,-0.282514642152628,7
"2",2,0,0.479645134011243,0.398578185064499,0.369448739374342,0.415890686150028,0.495701054882079,0.451395702564041,0.410482550646485,0.452526436030868,0.464596693672084,0.356826185261866,0.33587323442077,0.38576537111824,-0.222258853104541,-0.228494385035045,-0.228923969136136,-0.226559069091907,0.0337163524934534,0.0278776524865382,0.0462082681928208,0.0359340910576041,-0.277472997531024,-0.282525326900993,-0.292220573377414,-0.284072965936477,6
"3",3,0,0.498417764506471,0.441046124410603,0.391622899106658,0.443695596007911,0.473106539645534,0.438983577296918,0.405668392865235,0.439252836602562,0.526590377518685,0.443128144611195,0.378517454754161,0.449411992294681,-0.230656111005345,-0.222639055805129,-0.222165487883224,-0.225153551564566,0.0373844802394996,0.0337407171998405,0.0321505460620351,0.0344252478337917,-0.287979766594527,-0.274809505809099,-0.28323625163667,-0.282008508013432,8
"4",4,0,0.499991012334389,0.433625085766094,0.377634437547801,0.437083511882761,0.535569211006401,0.487196676128183,0.445905466734864,0.489557117956483,0.468845323376315,0.390667710297013,0.327493110761481,0.395668714811603,-0.218592233842121,-0.226151187162078,-0.210902001558,-0.2185484741874,0.0347397210225068,0.0308285772591375,0.0525929494826871,0.0393870825881104,-0.272842085337808,-0.279491909507336,-0.276266397420927,-0.276200130755357,5
"5",5,0,0.477147576206479,0.424315405368067,0.379112083462484,0.426858355012344,0.492864980009702,0.453738488277334,0.421494049362902,0.456032505883313,0.462401644440733,0.398475876530618,0.344474562088109,0.401784027686486,-0.221328730542201,-0.217748763628763,-0.228618723006654,-0.222565405725873,0.0337201697615188,0.0287765635253876,0.0457174238154382,0.0360713857007815,-0.276757075610584,-0.271996802716254,-0.291423844387708,-0.280059240904849,6
"6",1,50,0.537935210568977,0.42554269973585,0.470968526868761,0.478148812391196,0.501909570762805,0.441788516441524,0.484987582849425,0.476228556684585,0.579532395720269,0.410449314371385,0.457737171552961,0.482572960548205,-0.239361953937186,-0.22918261138838,-0.228636729367252,-0.232393764897606,0.0385337332956607,0.0341681768350401,0.0317676087312174,0.0348231729539727,-0.298499826245133,-0.287533611290211,-0.295174454050197,-0.293735963861847,8
"7",2,50,0.513110880730581,0.422287477654247,0.432687862087611,0.45602874015748,0.481082934703378,0.438327924608667,0.454543569572657,0.457984809628234,0.549707484728807,0.407379574048355,0.412837497484788,0.456641518753983,-0.234716553945886,-0.228723221132947,-0.228293218582823,-0.230577664553885,0.038998831924501,0.0334597305511338,0.0321768148299703,0.0348784591018684,-0.293057892722588,-0.285729864934941,-0.294933630561199,-0.291240462739576,8
"8",3,50,0.439299724045209,0.414936878388232,0.389200331312275,0.414478977915238,0.396438200629346,0.413867690699257,0.394302312486859,0.401536067938487,0.492552827607175,0.416011604674395,0.384228695315842,0.430931042532471,-0.232517551033187,-0.211913002456748,-0.243140334595503,-0.229190296028479,0.0392435328530922,0.029862298550997,0.0399321226747345,0.0363459846929412,-0.294377841594445,-0.259478599757953,-0.315641199520315,-0.289832546957571,10
"9",4,50,0.486936305510289,0.448454255532547,0.435752506729147,0.457047689257328,0.518650704807104,0.507270295103709,0.515250055687449,0.51372368519942,0.458876945805403,0.401860120285656,0.377507200708896,0.412748088933318,-0.22492009192215,-0.214221527074862,-0.221382029073125,-0.220174549356712,0.0341669055352698,0.0282009622128786,0.0328493828537332,0.0317390835339605,-0.282413735269515,-0.270092573169846,-0.287337009867165,-0.279947772768842,5
"10",5,50,0.482570615238658,0.4898649721814,0.486827568508305,0.486421051976121,0.453167513922004,0.477391653397315,0.487215608749139,0.472591592022819,0.516054013726667,0.503007585634704,0.486440145880686,0.501833915080686,-0.245392625128758,-0.226442119382592,-0.228873558665892,-0.233569434392414,0.039232849394719,0.0341748045517241,0.0334813134955667,0.0356296558140033,-0.307679605847408,-0.282098662688544,-0.297039859084245,-0.295606042540066,8
