"","rep","method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M"
"1","1","gfa","0.348752415938999","0.348752415938999","0.348752415938999","0.328663740853947","0.328663740853947","0.328663740853947","0.371456693588486","0.371456693588486","0.371456693588486","-0.0114856630476192","-0.00904739035962766","-0.0102665267036234","0.00422116080379712","0.0117514803643176","0.00798632058405737","-0.00691295834934302","-0.0567391681194162","-0.0318260632343796"
"2","2","gfa","0.376432952806489","0.376432952806489","0.376432952806489","0.338610082172383","0.338610082172383","0.338610082172383","0.423767993427399","0.423767993427399","0.423767993427399","-0.00367389008057525","-0.0113570004937461","-0.00751544528716069","0.00329729625768308","0.0126625650702183","0.00797993066395068","-0.00416092034405024","-0.0609407524733247","-0.0325508364086875"
"3","3","gfa","0.361287063370867","0.361287063370867","0.361287063370867","0.336197804829138","0.336197804829138","0.336197804829138","0.390422953878741","0.390422953878741","0.390422953878741","-0.000648228304760991","-0.00332416874928198","-0.00198619852702149","0.00285436944167646","0.00641384289442934","0.0046341061680529","-0.0183547523967521","-0.0400092585081009","-0.0291820054524265"
"4","4","gfa","0.361997049312105","0.361997049312105","0.361997049312105","0.32186824133651","0.32186824133651","0.32186824133651","0.413557137675627","0.413557137675627","0.413557137675627","-0.00405150068222837","-0.00888605675446873","-0.00646877871834855","0.00334574853539739","0.0154195901868578","0.0093826693611276","-0.00556523698128542","-0.0295371213405482","-0.0175511791609168"
"5","5","gfa","0.33289781786197","0.33289781786197","0.33289781786197","0.306382800810127","0.306382800810127","0.306382800810127","0.364436965378696","0.364436965378696","0.364436965378696","-0.0111486620135732","0.00380283475311297","-0.00367291363023011","0.00417955652899249","0.0180773103594971","0.0111284334442448","-0.00463943322970097","-0.00754808400951486","-0.00609375861960791"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
