"rep","method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M"
"2","gfa","0.3760182","0.3760182","0.3760182","0.338522","0.338522","0.338522","0.4228555","0.4228555","0.4228555","-0.003842272","-0.01107641","-0.007459342","0.003275572","0.01273033","0.00800295","-0.00438002","-0.06030113","-0.03234057"
"1","issvd","0.1661985","0.1175409","0.1418697","0.2345191","0.1624294","0.1984742","0.1287042","0.09209091","0.1103975","0.1210997","-0.02738898","0.04685536","0.1096692","0.01873979","0.06420451","0.122198","-0.1119245","0.005136747"
"1","mvc","0.4423575","0.4423575","0.4423575","0.4421944","0.4421944","0.4421944","0.4425209","0.4425209","0.4425209","0","0","0","0","0","0","0","0","0"
"2","mvc","0.4423575","0.4423575","0.4423575","0.4421944","0.4421944","0.4421944","0.4425209","0.4425209","0.4425209","0","0","0","0","0","0","0","0","0"
"3","mvc","0.4423575","0.4423575","0.4423575","0.4421944","0.4421944","0.4421944","0.4425209","0.4425209","0.4425209","0","0","0","0","0","0","0","0","0"
"4","mvc","0.4423575","0.4423575","0.4423575","0.4421944","0.4421944","0.4421944","0.4425209","0.4425209","0.4425209","0","0","0","0","0","0","0","0","0"
"5","mvc","0.4423575","0.4423575","0.4423575","0.4421944","0.4421944","0.4421944","0.4425209","0.4425209","0.4425209","0","0","0","0","0","0","0","0","0"
"4","Plaid","0","0.02167574","0.01083787","0","0.01758401","0.008792007","0","0.0282492","0.0141246","0","0","0","0","0","0","0","0","0"
"1","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","spectral","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
