"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"1","1","none","0.556753180018065","0.415816420416851","0.486284800217458","0.604695050655521","0.447042081993037","0.525868566324279","0.515854805956516","0.38866814835305","0.452261477154783","0.0869378191079817","0.118168156292685","0.102552987700333","0.0270705170620882","0.056982352537158","0.0420264347996231","0.106846222544368","0.122130242706797","0.114488232625582","4"
"2","1","0","0.556753180018065","0.415816420416851","0.486284800217458","0.604695050655521","0.447042081993037","0.525868566324279","0.515854805956516","0.38866814835305","0.452261477154783","0.0869378191079817","0.118168156292685","0.102552987700333","0.0270705170620882","0.056982352537158","0.0420264347996231","0.106846222544368","0.122130242706797","0.114488232625582","4"
"3","1","0.05","0.556753180018065","0.415816420416851","0.486284800217458","0.604695050655521","0.447042081993037","0.525868566324279","0.515854805956516","0.38866814835305","0.452261477154783","0.0869378191079817","0.118168156292685","0.102552987700333","0.0270705170620882","0.056982352537158","0.0420264347996231","0.106846222544368","0.122130242706797","0.114488232625582","4"
"4","1","0.1","0.556753180018065","0.415816420416851","0.486284800217458","0.604695050655521","0.447042081993037","0.525868566324279","0.515854805956516","0.38866814835305","0.452261477154783","0.0869378191079817","0.118168156292685","0.102552987700333","0.0270705170620882","0.056982352537158","0.0420264347996231","0.106846222544368","0.122130242706797","0.114488232625582","4"
"5","1","0.15","0.491158933218772","0.415816420416851","0.453487676817812","0.637120601665324","0.447042081993037","0.54208134182918","0.399609960522968","0.38866814835305","0.394139054438009","-0.00876028759640727","0.118168156292685","0.0547039343481388","-0.0211121967772962","0.056982352537158","0.0179350778799309","-0.0835202584709462","0.122130242706797","0.0193049921179253","4"
"6","1","0.2","0.368319145580614","0.415816420416851","0.392067782998733","0.602941176470588","0.447042081993037","0.524991629231813","0.265143904366153","0.38866814835305","0.326906026359602","-0.00661474389288963","0.118168156292685","0.0557767061998976","-0.0341750945236007","0.056982352537158","0.0114036290067786","-0.118501189009385","0.122130242706797","0.00181452684870614","4"
"7","1","0.25","0.200979583537641","0.415816420416851","0.308398001977246","0.5","0.447042081993037","0.473521040996519","0.1257662378813","0.38866814835305","0.257217193117175","0.0529731597410591","0.118168156292685","0.085570658016872","-0.0202350373562088","0.056982352537158","0.0183736575904746","0.0577609267703612","0.122130242706797","0.089945584738579","4"
"8","1","0.3","0","0.415816420416851","0.207908210208426","0","0.447042081993037","0.223521040996519","0","0.38866814835305","0.194334074176525","0","0.118168156292685","0.0590840781463424","0","0.056982352537158","0.028491176268579","0","0.122130242706797","0.0610651213533984","4"
"9","1","0.35","0","0.260608644746288","0.130304322373144","0","0.309072978303748","0.154536489151874","0","0.225283032934773","0.112641516467386","0","-0.0334061988815871","-0.0167030994407936","0","0.00312620803307985","0.00156310401653992","0","-0.135819551837662","-0.0679097759188311","2"
"10","1","0.4","0","0.229352615399345","0.114676307699672","0","0.366863905325444","0.183431952662722","0","0.166822629213646","0.0834113146068228","0","0.0227494483967829","0.0113747241983914","0","0.00170682077044214","0.00085341038522107","0","0.000598879702969116","0.000299439851484558","1"
"11","1","0.45","0","0.229352615399345","0.114676307699672","0","0.366863905325444","0.183431952662722","0","0.166822629213646","0.0834113146068228","0","0.0227494483967829","0.0113747241983914","0","0.00170682077044214","0.00085341038522107","0","0.000598879702969116","0.000299439851484558","1"
"12","1","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","1","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
