"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","3","Overall","CSR",1,0
"2","ResNMTF","3","Overall","Rel",1,0
"3","ResNMTF","3","Overall","Rec",1,0
"4","ResNMTF","3","Overall","F_score",1,0
"5","ResNMTF","3","Overall","BiS",0.564670621536365,0.0023683001708018
"6","ResNMTF","4","Overall","CSR",1,0
"7","ResNMTF","4","Overall","Rel",0.97618155679462,0.0120862032583571
"8","ResNMTF","4","Overall","Rec",0.97618155679462,0.0120862032583571
"9","ResNMTF","4","Overall","F_score",0.97618155679462,0.0120862032583571
"10","ResNMTF","4","Overall","BiS",0.540174491595749,0.0171600701476429
"11","ResNMTF","5","Overall","CSR",0.972277777777778,0.0468784609230724
"12","ResNMTF","5","Overall","Rel",0.876817994456882,0.0593332080876479
"13","ResNMTF","5","Overall","Rec",0.845798957501781,0.105266316595483
"14","ResNMTF","5","Overall","F_score",0.85998250558373,0.0834416386413996
"15","ResNMTF","5","Overall","BiS",0.460906239405739,0.0365793404192715
"16","ResNMTF","6","Overall","CSR",0.990856060606061,0.039333890183123
"17","ResNMTF","6","Overall","Rel",0.927375164485778,0.0362254038432288
"18","ResNMTF","6","Overall","Rec",0.914060937294581,0.0709450147533721
"19","ResNMTF","6","Overall","F_score",0.918971460962155,0.0555973483606335
"20","ResNMTF","6","Overall","BiS",0.486560063622317,0.028396483600775
"21","GFA","3","Overall","CSR",0.833333333333333,0
"22","GFA","3","Overall","Rel",0.344591383163821,0.0574040548996688
"23","GFA","3","Overall","Rec",0.222419865236934,0.0401606991330414
"24","GFA","3","Overall","F_score",0.269767815219342,0.0461863056752116
"25","GFA","3","Overall","BiS",0.309085572554678,0.138985775426902
"26","GFA","4","Overall","CSR",0.875,0
"27","GFA","4","Overall","Rel",0.320068201690528,0.0728773524330674
"28","GFA","4","Overall","Rec",0.219050892845654,0.0513887093963066
"29","GFA","4","Overall","F_score",0.258538766061959,0.0576063918099575
"30","GFA","4","Overall","BiS",0.213268235142238,0.105772650745464
"31","GFA","5","Overall","CSR",0.902,0.014070529413629
"32","GFA","5","Overall","Rel",0.275122192062207,0.0494704836208113
"33","GFA","5","Overall","Rec",0.206643708188242,0.0333675194709195
"34","GFA","5","Overall","F_score",0.235605755758235,0.0387545728321596
"35","GFA","5","Overall","BiS",0.169235764011057,0.0530394935967568
"36","GFA","6","Overall","CSR",0.92375,0.0229787573301941
"37","GFA","6","Overall","Rel",0.249329830319036,0.047871305324787
"38","GFA","6","Overall","Rec",0.204060559762911,0.0441156535305122
"39","GFA","6","Overall","F_score",0.224080839584693,0.0447351550229177
"40","GFA","6","Overall","BiS",0.152890838398373,0.0460347891100905
"41","iSSVD","3","Overall","CSR",0.25,0
"42","iSSVD","3","Overall","Rel",0,0
"43","iSSVD","3","Overall","Rec",0,0
"44","iSSVD","3","Overall","F_score",0,0
"45","iSSVD","3","Overall","BiS",0,0
"46","iSSVD","4","Overall","CSR",0.875,0
"47","iSSVD","4","Overall","Rel",0.749053072198349,0.0136423600045511
"48","iSSVD","4","Overall","Rec",0.616234248593207,0.0102317700034133
"49","iSSVD","4","Overall","F_score",0.676182334445274,0.0117195876736814
"50","iSSVD","4","Overall","BiS",0.393140260820399,0.0064695839042736
"51","iSSVD","5","Overall","CSR",0.166666666666667,0
"52","iSSVD","5","Overall","Rel",0,0
"53","iSSVD","5","Overall","Rec",0,0
"54","iSSVD","5","Overall","F_score",0,0
"55","iSSVD","5","Overall","BiS",0,0
"56","iSSVD","6","Overall","CSR",0.142857142857143,0
"57","iSSVD","6","Overall","Rel",0,0
"58","iSSVD","6","Overall","Rec",0,0
"59","iSSVD","6","Overall","F_score",0,0
"60","iSSVD","6","Overall","BiS",0,0
"61","NMTF","3","Overall","CSR",1,0
"62","NMTF","3","Overall","Rel",0.999883040935672,0.000575866624464687
"63","NMTF","3","Overall","Rec",0.999883040935672,0.000575866624464687
"64","NMTF","3","Overall","F_score",0.999883040935672,0.000575866624464687
"65","NMTF","3","Overall","BiS",0.564475228413075,0.00252052938399134
"66","NMTF","4","Overall","CSR",0.9975,0.0123091490979333
"67","NMTF","4","Overall","Rel",0.948146683976175,0.0240858201972058
"68","NMTF","4","Overall","Rec",0.945420606259114,0.0349023893342571
"69","NMTF","4","Overall","F_score",0.946649436364256,0.0297651560409159
"70","NMTF","4","Overall","BiS",0.501825197308779,0.0210023776673755
"71","NMTF","5","Overall","CSR",0.955888888888889,0.0467224160613916
"72","NMTF","5","Overall","Rel",0.846794408373388,0.0458956833611541
"73","NMTF","5","Overall","Rec",0.796872363188994,0.091554167063074
"74","NMTF","5","Overall","F_score",0.818344149130994,0.0710762799383525
"75","NMTF","5","Overall","BiS",0.433520179416025,0.0295303011758033
"76","NMTF","6","Overall","CSR",0.982785353535354,0.0467848426983449
"77","NMTF","6","Overall","Rel",0.8631222500479,0.033138023244952
"78","NMTF","6","Overall","Rec",0.840335036131796,0.0743309131333432
"79","NMTF","6","Overall","F_score",0.848215044512224,0.0555833767198657
"80","NMTF","6","Overall","BiS",0.408784118966747,0.0295893120425331
