"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","3","Overall","CSR",1,0
"2","ResNMTF","3","Overall","Rel",1,0
"3","ResNMTF","3","Overall","Rec",1,0
"4","ResNMTF","3","Overall","F_score",1,0
"5","ResNMTF","3","Overall","BiS",0.565058534188986,0.00212501891500833
"6","ResNMTF","4","Overall","CSR",0.999666666666667,0.00333333333333333
"7","ResNMTF","4","Overall","Rel",0.937852739961402,0.0199507674903484
"8","ResNMTF","4","Overall","Rec",0.938455866537297,0.0208222903672524
"9","ResNMTF","4","Overall","F_score",0.938124307433283,0.0201253349634141
"10","ResNMTF","4","Overall","BiS",0.466220712181022,0.0351819440176466
"11","ResNMTF","5","Overall","CSR",0.98337037037037,0.0408120825552741
"12","ResNMTF","5","Overall","Rel",0.888579045442973,0.050377055689887
"13","ResNMTF","5","Overall","Rec",0.870371526910624,0.090891205153532
"14","ResNMTF","5","Overall","F_score",0.878593507004822,0.0720996529618724
"15","ResNMTF","5","Overall","BiS",0.451911254355909,0.0298986691638865
"16","ResNMTF","6","Overall","CSR",0.971011784511784,0.0538750227421823
"17","ResNMTF","6","Overall","Rel",0.889459360535928,0.0290364644485535
"18","ResNMTF","6","Overall","Rec",0.848450094574666,0.0830757046016817
"19","ResNMTF","6","Overall","F_score",0.862525346804736,0.0608097295841038
"20","ResNMTF","6","Overall","BiS",0.428727210567179,0.0212346770695825
"21","GFA","3","Overall","CSR",0.833333333333333,0
"22","GFA","3","Overall","Rel",0.34965814720507,0.0551449846550619
"23","GFA","3","Overall","Rec",0.225238575985427,0.0382257127669542
"24","GFA","3","Overall","F_score",0.273405431637998,0.0438809285748073
"25","GFA","3","Overall","BiS",0.302991399890586,0.140511984867284
"26","GFA","4","Overall","CSR",0.875,0
"27","GFA","4","Overall","Rel",0.323023545463963,0.0768616797554979
"28","GFA","4","Overall","Rec",0.220150300718274,0.0486348208821665
"29","GFA","4","Overall","F_score",0.260668454025714,0.0570884083049257
"30","GFA","4","Overall","BiS",0.21037330988437,0.0975299933397579
"31","GFA","5","Overall","CSR",0.902,0.014070529413629
"32","GFA","5","Overall","Rel",0.276869761479554,0.0523095904153338
"33","GFA","5","Overall","Rec",0.209395261199169,0.0402390181393912
"34","GFA","5","Overall","F_score",0.237941552757727,0.0439923730187733
"35","GFA","5","Overall","BiS",0.175611544775692,0.0583309388445183
"36","GFA","6","Overall","CSR",0.921666666666667,0.0198902713813284
"37","GFA","6","Overall","Rel",0.250644442805836,0.0483510502310447
"38","GFA","6","Overall","Rec",0.201842869752508,0.0410666703876233
"39","GFA","6","Overall","F_score",0.223209022770447,0.0430409300586778
"40","GFA","6","Overall","BiS",0.153149194948766,0.0538963669548721
"41","iSSVD","3","Overall","CSR",0.25,0
"42","iSSVD","3","Overall","Rel",0,0
"43","iSSVD","3","Overall","Rec",0,0
"44","iSSVD","3","Overall","F_score",0,0
"45","iSSVD","3","Overall","BiS",0,0
"46","iSSVD","4","Overall","CSR",0.875,0
"47","iSSVD","4","Overall","Rel",0.752701556913655,0.00876269460535641
"48","iSSVD","4","Overall","Rec",0.618950786421625,0.00656552910130642
"49","iSSVD","4","Overall","F_score",0.679304536702387,0.00752304742240038
"50","iSSVD","4","Overall","BiS",0.393892539006512,0.00663165298312386
"51","iSSVD","5","Overall","CSR",0.166666666666667,0
"52","iSSVD","5","Overall","Rel",0,0
"53","iSSVD","5","Overall","Rec",0,0
"54","iSSVD","5","Overall","F_score",0,0
"55","iSSVD","5","Overall","BiS",0,0
"56","iSSVD","6","Overall","CSR",0.142857142857143,0
"57","iSSVD","6","Overall","Rel",0,0
"58","iSSVD","6","Overall","Rec",0,0
"59","iSSVD","6","Overall","F_score",0,0
"60","iSSVD","6","Overall","BiS",0,0
"61","NMTF","3","Overall","CSR",0.999583333333333,0.00416666666666666
"62","NMTF","3","Overall","Rel",0.999062399150668,0.00498984698652062
"63","NMTF","3","Overall","Rec",0.999321422037992,0.00250216673183959
"64","NMTF","3","Overall","F_score",0.999186261297766,0.00378312902582038
"65","NMTF","3","Overall","BiS",0.563356902926798,0.0103740643578735
"66","NMTF","4","Overall","CSR",0.964,0.0208839452564046
"67","NMTF","4","Overall","Rel",0.889086264498355,0.0257585471901989
"68","NMTF","4","Overall","Rec",0.851502845328582,0.0476315583505756
"69","NMTF","4","Overall","F_score",0.868382716881428,0.0373769830145073
"70","NMTF","4","Overall","BiS",0.45991495523909,0.0172720429076118
"71","NMTF","5","Overall","CSR",0.910185185185185,0.0355544059235516
"72","NMTF","5","Overall","Rel",0.80530764796002,0.0334106729147241
"73","NMTF","5","Overall","Rec",0.70764590838418,0.0678627632724255
"74","NMTF","5","Overall","F_score",0.747998967209529,0.0527806527052199
"75","NMTF","5","Overall","BiS",0.404830055491511,0.0185447837964672
"76","NMTF","6","Overall","CSR",0.963926887926888,0.0538153788224316
"77","NMTF","6","Overall","Rel",0.80089319198925,0.0328756953761403
"78","NMTF","6","Overall","Rec",0.76853138138623,0.070993298921138
"79","NMTF","6","Overall","F_score",0.779388483095879,0.0563611552402332
"80","NMTF","6","Overall","BiS",0.348490553099022,0.0205103809629028
