"","Method","overlap","Choice","Measure","Mean","S.d."
"1","ResNMTF","0","Overall","CSR",0.993666666666667,0.0240159879406964
"2","ResNMTF","0","Overall","Rel",0.903295302935313,0.0391967431637295
"3","ResNMTF","0","Overall","Rec",0.896082057905763,0.0600862609228094
"4","ResNMTF","0","Overall","F_score",0.899410727157379,0.0497155857467589
"5","ResNMTF","0","Overall","BiS",0.460752062863374,0.0260045590109068
"6","ResNMTF","0.05","Overall","CSR",0.976851851851852,0.0662797413636047
"7","ResNMTF","0.05","Overall","Rel",0.681907248655068,0.0177234750293307
"8","ResNMTF","0.05","Overall","Rec",0.658438743964425,0.0787921057365549
"9","ResNMTF","0.05","Overall","F_score",0.667821648450196,0.0527295117084686
"10","ResNMTF","0.05","Overall","BiS",0.361360086862756,0.017462469990606
"11","ResNMTF","0.1","Overall","CSR",0.78,0.0222222222222222
"12","ResNMTF","0.1","Overall","Rel",0.633383208859792,0.0121701526443533
"13","ResNMTF","0.1","Overall","Rec",0.414442900654748,0.0226119551813637
"14","ResNMTF","0.1","Overall","F_score",0.500759364677404,0.015602858894182
"15","ResNMTF","0.1","Overall","BiS",0.328100487634466,0.00500655181912287
"16","ResNMTF","0.15","Overall","CSR",0.777777777777778,0
"17","ResNMTF","0.15","Overall","Rel",0.623926466011988,0.0132809346656795
"18","ResNMTF","0.15","Overall","Rec",0.404426908806902,0.00785488663587694
"19","ResNMTF","0.15","Overall","F_score",0.490748529330113,0.00987899302677571
"20","ResNMTF","0.15","Overall","BiS",0.324629232461926,0.00649015588869261
"21","ResNMTF","0.2","Overall","CSR",0.777777777777778,0
"22","ResNMTF","0.2","Overall","Rel",0.582814220226204,0.017770380704092
"23","ResNMTF","0.2","Overall","Rec",0.3721972518959,0.0107504619708275
"24","ResNMTF","0.2","Overall","F_score",0.45427684110007,0.0133951597331174
"25","ResNMTF","0.2","Overall","BiS",0.309386627345769,0.00822935250017597
"26","ResNMTF","0.25","Overall","CSR",0.777777777777778,0
"27","ResNMTF","0.25","Overall","Rel",0.559850216629705,0.0173144139923346
"28","ResNMTF","0.25","Overall","Rec",0.354826088962547,0.0105719838167846
"29","ResNMTF","0.25","Overall","F_score",0.434357481927934,0.0131190755022894
"30","ResNMTF","0.25","Overall","BiS",0.300952097216735,0.00822951188173384
"31","ResNMTF","0.3","Overall","CSR",0.777777777777778,0
"32","ResNMTF","0.3","Overall","Rel",0.558987454975196,0.0177636695149553
"33","ResNMTF","0.3","Overall","Rec",0.352958157042606,0.0107257549185415
"34","ResNMTF","0.3","Overall","F_score",0.432697012180529,0.0133691444454905
"35","ResNMTF","0.3","Overall","BiS",0.300163770094316,0.00874644646408679
"36","ResNMTF","0.35","Overall","CSR",0.773703703703704,0.0286621895462812
"37","ResNMTF","0.35","Overall","Rel",0.50210718808349,0.0336029872943474
"38","ResNMTF","0.35","Overall","Rec",0.313238601193776,0.0206043687006913
"39","ResNMTF","0.35","Overall","F_score",0.385796091008449,0.0255426733558428
"40","ResNMTF","0.35","Overall","BiS",0.279150800850573,0.0180932708024007
"41","ResNMTF","0.4","Overall","CSR",0.776962962962963,0.0238613584306206
"42","ResNMTF","0.4","Overall","Rel",0.472765675995522,0.0289379435353748
"43","ResNMTF","0.4","Overall","Rec",0.293985815928631,0.0164603964564379
"44","ResNMTF","0.4","Overall","F_score",0.362468944591106,0.0206288902405596
"45","ResNMTF","0.4","Overall","BiS",0.266057835793568,0.0171095520359942
"46","GFA","0","Overall","CSR",0.9,0
"47","GFA","0","Overall","Rel",0.274323801175831,0.04368497648605
"48","GFA","0","Overall","Rec",0.20747114622235,0.032249133423803
"49","GFA","0","Overall","F_score",0.235859338562722,0.0360196557231147
"50","GFA","0","Overall","BiS",0.172079550677171,0.0602363286195825
"51","GFA","0.05","Overall","CSR",0.9975,0.0142872173331471
"52","GFA","0.05","Overall","Rel",0.284370313165406,0.128015790730131
"53","GFA","0.05","Overall","Rec",0.272269173525508,0.129906946555557
"54","GFA","0.05","Overall","F_score",0.277716359047019,0.128566042097248
"55","GFA","0.05","Overall","BiS",0.136627717849851,0.067434634189114
"56","GFA","0.1","Overall","CSR",0.998333333333333,0.0117254411780241
"57","GFA","0.1","Overall","Rel",0.338435388145746,0.140991444033621
"58","GFA","0.1","Overall","Rec",0.333006180869807,0.140803741959203
"59","GFA","0.1","Overall","F_score",0.33552642758155,0.140803477659412
"60","GFA","0.1","Overall","BiS",0.159718974533337,0.0743716063907577
"61","GFA","0.15","Overall","CSR",0.995961538461538,0.0208096362747434
"62","GFA","0.15","Overall","Rel",0.327001572464057,0.144000993166845
"63","GFA","0.15","Overall","Rec",0.32047226605707,0.142329761371468
"64","GFA","0.15","Overall","F_score",0.323397068648948,0.142868399974435
"65","GFA","0.15","Overall","BiS",0.148765880565189,0.0701789235340307
"66","GFA","0.2","Overall","CSR",0.945915750915751,0.060974370328208
"67","GFA","0.2","Overall","Rel",0.293475791499244,0.149212862194942
"68","GFA","0.2","Overall","Rec",0.320929422739143,0.156733851123446
"69","GFA","0.2","Overall","F_score",0.305407569203388,0.151561740385667
"70","GFA","0.2","Overall","BiS",0.124842078497329,0.0689293679707731
"71","GFA","0.25","Overall","CSR",0.814626508295626,0.0807335244997843
"72","GFA","0.25","Overall","Rel",0.240898008458238,0.118112608010119
"73","GFA","0.25","Overall","Rec",0.341953888494306,0.165510990457665
"74","GFA","0.25","Overall","F_score",0.280232754209115,0.13347499882653
