"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","50","Overall","CSR",0.98125,0.0448587851603296
"2","ResNMTF","50","Overall","Rel",0.867563159437019,0.0523722777984101
"3","ResNMTF","50","Overall","Rec",0.847155542915703,0.0979405033609387
"4","ResNMTF","50","Overall","F_score",0.856355090834564,0.0769055897491398
"5","ResNMTF","50","Overall","BiS",0.454814049655047,0.0543696927323421
"6","ResNMTF","200","Overall","CSR",0.997166666666667,0.0178541604051001
"7","ResNMTF","200","Overall","Rel",0.936225318139378,0.0320374883502332
"8","ResNMTF","200","Overall","Rec",0.933847542202089,0.0486667776468737
"9","ResNMTF","200","Overall","F_score",0.934893446619628,0.040842917782414
"10","ResNMTF","200","Overall","BiS",0.470494673419381,0.0365820537207194
"11","ResNMTF","300","Overall","CSR",1,0
"12","ResNMTF","300","Overall","Rel",0.957441865968689,0.0158408216975035
"13","ResNMTF","300","Overall","Rec",0.957441865968689,0.0158408216975035
"14","ResNMTF","300","Overall","F_score",0.957441865968689,0.0158408216975035
"15","ResNMTF","300","Overall","BiS",0.494574544383805,0.0270288864518562
"16","ResNMTF","500","Overall","CSR",0.99625,0.0214308259997207
"17","ResNMTF","500","Overall","Rel",0.927197622964311,0.0316430619657939
"18","ResNMTF","500","Overall","Rec",0.923230169894804,0.0536368091204204
"19","ResNMTF","500","Overall","F_score",0.925024121818897,0.0436057977767889
"20","ResNMTF","500","Overall","BiS",0.454915639007902,0.0199559108686803
"21","ResNMTF","1000","Overall","CSR",0.9925,0.0298354070719928
"22","ResNMTF","1000","Overall","Rel",0.916156441858519,0.041612640646033
"23","ResNMTF","1000","Overall","Rec",0.908215707678386,0.0726740319419906
"24","ResNMTF","1000","Overall","F_score",0.911805797667767,0.0585610270220492
"25","ResNMTF","1000","Overall","BiS",0.443280107012148,0.0204362989983074
"26","GFA","50","Overall","CSR",0.8775,0.0175881617670362
"27","GFA","50","Overall","Rel",0.27200569917566,0.0870722952798153
"28","GFA","50","Overall","Rec",0.195711618805516,0.0612438447087754
"29","GFA","50","Overall","F_score",0.226876545702488,0.0702366681961669
"30","GFA","50","Overall","BiS",0.1808673623659,0.114247210285071
"31","GFA","200","Overall","CSR",0.87625,0.0125
"32","GFA","200","Overall","Rel",0.304255929070834,0.0755875883228316
"33","GFA","200","Overall","Rec",0.209946819354944,0.0502178942874797
"34","GFA","200","Overall","F_score",0.247557335192086,0.0584196264969623
"35","GFA","200","Overall","BiS",0.1900491727609,0.100397352428308
"36","GFA","300","Overall","CSR",0.87875,0.0214308259997207
"37","GFA","300","Overall","Rel",0.313019483235022,0.0840192444516125
"38","GFA","300","Overall","Rec",0.214140611656296,0.0516686586545222
"39","GFA","300","Overall","F_score",0.253344082284228,0.0618908077350434
"40","GFA","300","Overall","BiS",0.1855299990094,0.0878622181891224
"41","GFA","500","Overall","CSR",0.8915,0.0422265415121912
"42","GFA","500","Overall","Rel",0.30371064681576,0.0790253749316499
"43","GFA","500","Overall","Rec",0.22093030975406,0.0580006578800318
"44","GFA","500","Overall","F_score",0.25434168493006,0.0638787645683465
"45","GFA","500","Overall","BiS",0.191899190526322,0.100182541719227
"46","GFA","1000","Overall","CSR",0.926931818181818,0.0607018655645108
"47","GFA","1000","Overall","Rel",0.286514613932382,0.0825193741560683
"48","GFA","1000","Overall","Rec",0.232488417474545,0.054650063882593
"49","GFA","1000","Overall","F_score",0.254246210509988,0.0620976510760442
"50","GFA","1000","Overall","BiS",0.172130646805506,0.103069172681666
"51","iSSVD","50","Overall","CSR",0.875,0
"52","iSSVD","50","Overall","Rel",0.696664943844059,0.0146601722037647
"53","iSSVD","50","Overall","Rec",0.57500671288168,0.0111660620137653
"54","iSSVD","50","Overall","F_score",0.630013480790034,0.0126821947355859
"55","iSSVD","50","Overall","BiS",0.375418862435086,0.00681414228090262
"56","iSSVD","200","Overall","CSR",0.875,0
"57","iSSVD","200","Overall","Rel",0.751550150989997,0.00937051277337998
"58","iSSVD","200","Overall","Rec",0.618082408908647,0.00701965589080239
"59","iSSVD","200","Overall","F_score",0.678312520187874,0.00804404450857145
"60","iSSVD","200","Overall","BiS",0.393347226148314,0.00586294838219107
"61","iSSVD","300","Overall","CSR",0.875,0
"62","iSSVD","300","Overall","Rel",0.759502076364197,0.00328947660282716
"63","iSSVD","300","Overall","Rec",0.624040897704661,0.00245356743882041
"64","iSSVD","300","Overall","F_score",0.685139923040283,0.00281438153070519
"65","iSSVD","300","Overall","BiS",0.396309964306129,0.00365583915358686
"66","iSSVD","500","Overall","CSR",0.875,0
"67","iSSVD","500","Overall","Rel",0.756904101587079,0.00117056276651128
"68","iSSVD","500","Overall","Rec",0.624804512971918,0.000877922074883212
"69","iSSVD","500","Overall","F_score",0.6845395489723,0.00100563705408583
"70","iSSVD","500","Overall","BiS",0.397401601693454,0.00233976496222294
"71","iSSVD","1000","Overall","CSR",0.875,0
"72","iSSVD","1000","Overall","Rel",0.756525840698125,0.00208100381803817
"73","iSSVD","1000","Overall","Rec",0.624520817305202,0.00156075286352845
"74","iSSVD","1000","Overall","F_score",0.684214579099519,0.001787841457158
"75","iSSVD","1000","Overall","BiS",0.397149156978422,0.00360727204391844
"76","NMTF","50","Overall","CSR",0.972916666666667,0.023221684542613
"77","NMTF","50","Overall","Rel",0.861044798891449,0.023614844671121
"78","NMTF","50","Overall","Rec",0.831872755301177,0.0462420719632818
"79","NMTF","50","Overall","F_score",0.845021594850224,0.0356399279347386
"80","NMTF","50","Overall","BiS",0.468776925961347,0.0213279278018979
"81","NMTF","200","Overall","CSR",0.967916666666667,0.0209340997414871
