"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","0","Overall","CSR",0.166666666666667,0
"2","iSSVD","0","Overall","Rel",0,0
"3","iSSVD","0","Overall","Rec",0,0
"4","iSSVD","0","Overall","F_score",0,0
"5","iSSVD","0","Overall","BiS",0,0
"6","iSSVD","0.05","Overall","CSR",0.166666666666667,0
"7","iSSVD","0.05","Overall","Rel",0,0
"8","iSSVD","0.05","Overall","Rec",0,0
"9","iSSVD","0.05","Overall","F_score",0,0
"10","iSSVD","0.05","Overall","BiS",0,0
"11","iSSVD","0.1","Overall","CSR",0.166666666666667,0
"12","iSSVD","0.1","Overall","Rel",0,0
"13","iSSVD","0.1","Overall","Rec",0,0
"14","iSSVD","0.1","Overall","F_score",0,0
"15","iSSVD","0.1","Overall","BiS",0,0
"16","iSSVD","0.15","Overall","CSR",0.166666666666667,0
"17","iSSVD","0.15","Overall","Rel",0,0
"18","iSSVD","0.15","Overall","Rec",0,0
"19","iSSVD","0.15","Overall","F_score",0,0
"20","iSSVD","0.15","Overall","BiS",0,0
"21","iSSVD","0.2","Overall","CSR",0.166666666666667,0
"22","iSSVD","0.2","Overall","Rel",0,0
"23","iSSVD","0.2","Overall","Rec",0,0
"24","iSSVD","0.2","Overall","F_score",0,0
"25","iSSVD","0.2","Overall","BiS",0,0
"26","iSSVD","0.25","Overall","CSR",0.166666666666667,0
"27","iSSVD","0.25","Overall","Rel",0,0
"28","iSSVD","0.25","Overall","Rec",0,0
"29","iSSVD","0.25","Overall","F_score",0,0
"30","iSSVD","0.25","Overall","BiS",0,0
"31","iSSVD","0.3","Overall","CSR",0.166666666666667,0
"32","iSSVD","0.3","Overall","Rel",0,0
"33","iSSVD","0.3","Overall","Rec",0,0
"34","iSSVD","0.3","Overall","F_score",0,0
"35","iSSVD","0.3","Overall","BiS",0,0
"36","iSSVD","0.35","Overall","CSR",0.852857142857143,0.142141062443803
