"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","0","Overall","CSR",0.2,0
"2","iSSVD","0","Overall","Rel",0,0
"3","iSSVD","0","Overall","Rec",0,0
"4","iSSVD","0","Overall","F_score",0,0
"5","iSSVD","0","Overall","BiS",0,0
"6","iSSVD","0.05","Overall","CSR",0.2,0
"7","iSSVD","0.05","Overall","Rel",0,0
"8","iSSVD","0.05","Overall","Rec",0,0
"9","iSSVD","0.05","Overall","F_score",0,0
"10","iSSVD","0.05","Overall","BiS",0,0
"11","iSSVD","0.1","Overall","CSR",0.2,0
"12","iSSVD","0.1","Overall","Rel",0,0
"13","iSSVD","0.1","Overall","Rec",0,0
"14","iSSVD","0.1","Overall","F_score",0,0
"15","iSSVD","0.1","Overall","BiS",0,0
"16","iSSVD","0.15","Overall","CSR",0.2,0
"17","iSSVD","0.15","Overall","Rel",0,0
"18","iSSVD","0.15","Overall","Rec",0,0
"19","iSSVD","0.15","Overall","F_score",0,0
"20","iSSVD","0.15","Overall","BiS",0,0
"21","iSSVD","0.2","Overall","CSR",0.323185064935065,0.240362948957154
"22","iSSVD","0.2","Overall","Rel",0.0090203994649006,0.0182240584086964
"23","iSSVD","0.2","Overall","Rec",0.00384953703703704,0.00737637870932278
"24","iSSVD","0.2","Overall","F_score",0.00517040721943818,0.0098359983635475
"25","iSSVD","0.2","Overall","BiS",0.0171623989192361,0.104097228422262
"26","iSSVD","0.25","Overall","CSR",0.482642857142857,0.245704186594028
"27","iSSVD","0.25","Overall","Rel",0.130313114134543,0.111498665884869
"28","iSSVD","0.25","Overall","Rec",0.0392237811791383,0.0331207630578568
"29","iSSVD","0.25","Overall","F_score",0.0598506359708442,0.0505000728109915
"30","iSSVD","0.25","Overall","BiS",0.0829890941493764,0.174902567908934
"31","iSSVD","0.3","Overall","CSR",0.482428571428571,0.091391023133905
"32","iSSVD","0.3","Overall","Rel",0.407054610733182,0.137825431470031
"33","iSSVD","0.3","Overall","Rec",0.102554043839758,0.0341836387128258
"34","iSSVD","0.3","Overall","F_score",0.16371637647392,0.0546491521154048
"35","iSSVD","0.3","Overall","BiS",0.394101799278297,0.140219052863863
"36","iSSVD","0.35","Overall","CSR",0.517931818181818,0.113694151972903
"37","iSSVD","0.35","Overall","Rel",0.618109509301551,0.162333110891829
"38","iSSVD","0.35","Overall","Rec",0.202560294284817,0.132697800836308
"39","iSSVD","0.35","Overall","F_score",0.276946147398545,0.0936067438410015
"40","iSSVD","0.35","Overall","BiS",0.397045575498115,0.127630822058441
"41","iSSVD","0.4","Overall","CSR",0.685923076923077,0.222423365426248
"42","iSSVD","0.4","Overall","Rel",0.610651680590338,0.181313705306575
"43","iSSVD","0.4","Overall","Rec",0.391685392342617,0.213902572844429
"44","iSSVD","0.4","Overall","F_score",0.415492332728956,0.168633610645811
"45","iSSVD","0.4","Overall","BiS",0.326739211526165,0.168684388072288
"46","iSSVD","0.45","Overall","CSR",0.838912087912088,0.150779951364546
"47","iSSVD","0.45","Overall","Rel",0.602085209943774,0.196506015466756
"48","iSSVD","0.45","Overall","Rec",0.580585914209476,0.0868061183018895
"49","iSSVD","0.45","Overall","F_score",0.564983061762956,0.136511873759059
"50","iSSVD","0.45","Overall","BiS",0.285230784109786,0.172182012096176
"51","iSSVD","0.5","Overall","CSR",0.8665,0.05743023875305
"52","iSSVD","0.5","Overall","Rel",0.724705318883878,0.104577548387747
"53","iSSVD","0.5","Overall","Rec",0.614493028011172,0.00978479369289717
"54","iSSVD","0.5","Overall","F_score",0.660007449859106,0.0683404829444096
"55","iSSVD","0.5","Overall","BiS",0.375742638218726,0.0785681778638852
"56","iSSVD","0.55","Overall","CSR",0.87475,0.0328554763050595
"57","iSSVD","0.55","Overall","Rel",0.747034751212082,0.0538964240442817
"58","iSSVD","0.55","Overall","Rec",0.620702830749667,0.0174106923902045
"59","iSSVD","0.55","Overall","F_score",0.676611470581533,0.0372629527307076
"60","iSSVD","0.55","Overall","BiS",0.398202317574964,0.0370723165535647
"61","iSSVD","0.6","Overall","CSR",0.875,0
"62","iSSVD","0.6","Overall","Rel",0.752636372985329,0.00745248408119794
"63","iSSVD","0.6","Overall","Rec",0.618825578415304,0.00556812095400144
"64","iSSVD","0.6","Overall","F_score",0.679202237979825,0.00638142801741689
"65","iSSVD","0.6","Overall","BiS",0.394853877384602,0.00369990434396786
"66","iSSVD","0.65","Overall","CSR",0.875,0
"67","iSSVD","0.65","Overall","Rel",0.751847312928874,0.0095913971258123
"68","iSSVD","0.65","Overall","Rec",0.618299825128169,0.00719957213798075
"69","iSSVD","0.65","Overall","F_score",0.67856435849279,0.00824247838923875
"70","iSSVD","0.65","Overall","BiS",0.394505371542377,0.00380405675759343
"71","iSSVD","0.7","Overall","CSR",0.875,0
"72","iSSVD","0.7","Overall","Rel",0.752225526726194,0.00948012048835077
"73","iSSVD","0.7","Overall","Rec",0.61861358948909,0.00711009036626306
"74","iSSVD","0.7","Overall","F_score",0.678907411670505,0.00814418406348168
"75","iSSVD","0.7","Overall","BiS",0.394688530400213,0.00329213329270696
"76","iSSVD","0.75","Overall","CSR",0.875,0
"77","iSSVD","0.75","Overall","Rel",0.751250053200566,0.0105982114016776
"78","iSSVD","0.75","Overall","Rec",0.617861793185968,0.0079271603736793
"79","iSSVD","0.75","Overall","F_score",0.678057124628508,0.00909117645055206
"80","iSSVD","0.75","Overall","BiS",0.394218196102701,0.00416479629338827
"81","iSSVD","0.8","Overall","CSR",0.875,0
"82","iSSVD","0.8","Overall","Rel",0.751441971078623,0.0105595999129495
"83","iSSVD","0.8","Overall","Rec",0.61800180905066,0.00790062098654022
"84","iSSVD","0.8","Overall","F_score",0.678219619909021,0.00905941796558502
"85","iSSVD","0.8","Overall","BiS",0.394228711031886,0.00437647903584944
"86","iSSVD","0.85","Overall","CSR",0.875,0
"87","iSSVD","0.85","Overall","Rel",0.751150111974161,0.0105913183022393
"88","iSSVD","0.85","Overall","Rec",0.617807028425065,0.00794348872667948
"89","iSSVD","0.85","Overall","F_score",0.677983461251048,0.00909911038936927
"90","iSSVD","0.85","Overall","BiS",0.394414094499745,0.00370200755510492
"91","iSSVD","0.9","Overall","CSR",0.875,0
"92","iSSVD","0.9","Overall","Rel",0.752778763639659,0.00986690161212236
"93","iSSVD","0.9","Overall","Rec",0.619028517174189,0.00740017620909175
"94","iSSVD","0.9","Overall","F_score",0.679382556687127,0.00847666131231485
"95","iSSVD","0.9","Overall","BiS",0.394761681475809,0.00339362505582826
"96","iSSVD","0.95","Overall","CSR",0.875,0
"97","iSSVD","0.95","Overall","Rel",0.752745676158763,0.0100930323322709
"98","iSSVD","0.95","Overall","Rec",0.618963319245715,0.00755802534595461
"99","iSSVD","0.95","Overall","F_score",0.679329633186036,0.00866234009736755
"100","iSSVD","0.95","Overall","BiS",0.394749458212362,0.00345767208157971
"101","iSSVD","1","Overall","CSR",0.875,0
"102","iSSVD","1","Overall","Rel",0.751986036700708,0.0105711508752146
"103","iSSVD","1","Overall","Rec",0.618433971969976,0.00792836315641096
"104","iSSVD","1","Overall","F_score",0.678701521527275,0.0090817131355916
"105","iSSVD","1","Overall","BiS",0.394675762660028,0.00349742831497602
