"","Method","Noise","Choice","Measure","Mean","S.d."
"1","ResNMTF","1","Overall","CSR",0.99875,0.0125
"2","ResNMTF","1","Overall","Rel",0.00133783105410663,0.000137664354207528
"3","ResNMTF","1","Overall","Rec",0.00133512929242108,0.000135403542202662
"4","ResNMTF","1","Overall","F_score",0.00133632458064332,0.000135694864972397
"5","ResNMTF","1","Overall","BiS",0.682509871872301,0.00372495512872585
"6","ResNMTF","2","Overall","CSR",0.998,0.014070529413629
"7","ResNMTF","2","Overall","Rel",0.00130017934606191,0.000130873445835244
"8","ResNMTF","2","Overall","Rec",0.00130971264210842,0.000123445928982616
"9","ResNMTF","2","Overall","F_score",0.00130468710038899,0.000126389669979607
"10","ResNMTF","2","Overall","BiS",0.605038009928701,0.031155228442077
"11","ResNMTF","3","Overall","CSR",0.992962962962963,0.0329318634109505
"12","ResNMTF","3","Overall","Rel",0.00128381013506707,0.000169140939391556
"13","ResNMTF","3","Overall","Rec",0.00128638893185061,0.000157346872512448
"14","ResNMTF","3","Overall","F_score",0.00128454816057364,0.000161707667780919
"15","ResNMTF","3","Overall","BiS",0.557538274522876,0.0350218370128973
"16","ResNMTF","4","Overall","CSR",0.9915,0.0291330975650955
"17","ResNMTF","4","Overall","Rel",0.00124764331524485,0.000139144319273084
"18","ResNMTF","4","Overall","Rec",0.00125901898626836,0.000128013907375592
"19","ResNMTF","4","Overall","F_score",0.00125297262245053,0.000132877557200421
"20","ResNMTF","4","Overall","BiS",0.506238675589005,0.0276138227634541
"21","ResNMTF","5","Overall","CSR",0.990527777777778,0.0342355796770686
"22","ResNMTF","5","Overall","Rel",0.00122878428255754,0.000152795440201904
"23","ResNMTF","5","Overall","Rec",0.00123451812401256,0.000129652001552238
"24","ResNMTF","5","Overall","F_score",0.00123071485491054,0.000138099539138041
"25","ResNMTF","5","Overall","BiS",0.460348465154182,0.027993894988032
"26","ResNMTF","6","Overall","CSR",0.981722222222222,0.0450678047346078
"27","ResNMTF","6","Overall","Rel",0.00118016031146794,0.000166056142702423
"28","ResNMTF","6","Overall","Rec",0.00118626117691581,0.000153259446854954
"29","ResNMTF","6","Overall","F_score",0.00118178742374656,0.000157385732052717
"30","ResNMTF","6","Overall","BiS",0.414506937466334,0.0250802503311866
"31","ResNMTF","7","Overall","CSR",0.978398148148148,0.0491117451709691
"32","ResNMTF","7","Overall","Rel",0.00114596835699812,0.000163608257905821
"33","ResNMTF","7","Overall","Rec",0.0011508967249687,0.000144812282157683
"34","ResNMTF","7","Overall","F_score",0.0011471740655934,0.000151409000300014
"35","ResNMTF","7","Overall","BiS",0.383607747374575,0.0262435504565806
"36","ResNMTF","8","Overall","CSR",0.965851851851852,0.0632420039706027
"37","ResNMTF","8","Overall","Rel",0.00109310621640075,0.00020171334398975
"38","ResNMTF","8","Overall","Rec",0.00110238062665707,0.000195893642323892
"39","ResNMTF","8","Overall","F_score",0.00109641989054864,0.000196780975209691
"40","ResNMTF","8","Overall","BiS",0.351963119152531,0.0215796950632038
"41","ResNMTF","9","Overall","CSR",0.9405,0.0806256301291511
"42","ResNMTF","9","Overall","Rel",0.00100965341890329,0.000206915928776687
"43","ResNMTF","9","Overall","Rec",0.00100970632132268,0.00021232617984426
"44","ResNMTF","9","Overall","F_score",0.00100841721222052,0.000207607914243325
"45","ResNMTF","9","Overall","BiS",0.326554856895753,0.0187673186033405
"46","ResNMTF","10","Overall","CSR",0.916555555555556,0.0908232825830288
"47","ResNMTF","10","Overall","Rel",0.000948679623712175,0.000238543510018425
"48","ResNMTF","10","Overall","Rec",0.000943875679371975,0.000242397337664613
"49","ResNMTF","10","Overall","F_score",0.000944458905908009,0.000238177405621093
"50","ResNMTF","10","Overall","BiS",0.307048765517365,0.0127615678919835
"51","ResNMTF","20","Overall","CSR",0.777777777777778,0
"52","ResNMTF","20","Overall","Rel",0.000625881423388635,4.92069768687195e-05
"53","ResNMTF","20","Overall","Rec",0.000583406583477261,5.12877748998616e-05
"54","ResNMTF","20","Overall","F_score",0.000603081830679771,4.75338511674262e-05
"55","ResNMTF","20","Overall","BiS",0.21487595006688,0.00569230621717455
"56","ResNMTF","30","Overall","CSR",0.780222222222222,0.0171973137277687
"57","ResNMTF","30","Overall","Rel",0.000617139907865188,5.37276884112483e-05
"58","ResNMTF","30","Overall","Rec",0.000575963774830649,5.19081853721475e-05
"59","ResNMTF","30","Overall","F_score",0.000594894045390324,4.98008789823378e-05
"60","ResNMTF","30","Overall","BiS",0.162860957348545,0.00894553922164876
"61","ResNMTF","40","Overall","CSR",0.782666666666667,0.024071224902625
"62","ResNMTF","40","Overall","Rel",0.000604247102679104,5.73466961276256e-05
"63","ResNMTF","40","Overall","Rec",0.000559852196312095,5.04147871650989e-05
"64","ResNMTF","40","Overall","F_score",0.00058031356165114,5.07165281797633e-05
"65","ResNMTF","40","Overall","BiS",0.125243074618732,0.0103847288022334
"66","ResNMTF","50","Overall","CSR",0.781444444444445,0.0209545854219491
"67","ResNMTF","50","Overall","Rel",0.000591816999897353,5.34955973395878e-05
"68","ResNMTF","50","Overall","Rec",0.000542986155466697,4.73563671970135e-05
"69","ResNMTF","50","Overall","F_score",0.000565234538807498,4.5768847454299e-05
"70","ResNMTF","50","Overall","BiS",0.0993799087801266,0.00794219255202109
"71","ResNMTF","60","Overall","CSR",0.783481481481482,0.0252540815083495
"72","ResNMTF","60","Overall","Rel",0.000570433053862977,5.48993777994393e-05
"73","ResNMTF","60","Overall","Rec",0.000525027169736518,4.77860491494967e-05
"74","ResNMTF","60","Overall","F_score",0.000545964782969559,4.8430949277426e-05
"75","ResNMTF","60","Overall","BiS",0.0766884741243696,0.0101135402424408
"76","ResNMTF","70","Overall","CSR",0.78062962962963,0.0406397926299874
"77","ResNMTF","70","Overall","Rel",0.000556424251786708,6.37007806124021e-05
"78","ResNMTF","70","Overall","Rec",0.000509674011640555,5.72046378431462e-05
"79","ResNMTF","70","Overall","F_score",0.000531098078456975,5.78817981874766e-05
"80","ResNMTF","70","Overall","BiS",0.0615568183830289,0.00838148397248737
"81","ResNMTF","80","Overall","CSR",0.775333333333334,0.0412803767134018
"82","ResNMTF","80","Overall","Rel",0.000544208262054988,7.42859200153416e-05
"83","ResNMTF","80","Overall","Rec",0.000487909065535075,6.02369265929651e-05
"84","ResNMTF","80","Overall","F_score",0.000513433888816644,6.42646345724111e-05
"85","ResNMTF","80","Overall","BiS",0.050166050345145,0.00762963382686242
"86","ResNMTF","90","Overall","CSR",0.781851851851852,0.020472992533058
"87","ResNMTF","90","Overall","Rel",0.000540514604304664,5.06204364125251e-05
"88","ResNMTF","90","Overall","Rec",0.000483631599262982,3.61780625037544e-05
"89","ResNMTF","90","Overall","F_score",0.000509583306454079,3.98814054724821e-05
"90","ResNMTF","90","Overall","BiS",0.0397544755777555,0.00668036731496829
