"","Method","overlap","Choice","Measure","Mean","S.d."
"1","ResNMTF","0","Overall","CSR",0.980712962962963,0.0450302103310377
"2","ResNMTF","0","Overall","Rel",0.893379045955078,0.0523044245096919
"3","ResNMTF","0","Overall","Rec",0.87152496105184,0.0968211409398244
"4","ResNMTF","0","Overall","F_score",0.881026641853014,0.0761702684768548
"5","ResNMTF","0","Overall","BiS",0.455623606159944,0.0305857794420361
"6","ResNMTF","0.05","Overall","CSR",0.997166666666667,0.0178541604051001
"7","ResNMTF","0.05","Overall","Rel",0.937722185067111,0.0224927022373294
"8","ResNMTF","0.05","Overall","Rec",0.933130763498484,0.0340621800459476
"9","ResNMTF","0.05","Overall","F_score",0.934541143205922,0.0282688383856036
"10","ResNMTF","0.05","Overall","BiS",0.483097419918998,0.0249282304232774
"11","ResNMTF","0.1","Overall","CSR",0.99125,0.0320540499970303
"12","ResNMTF","0.1","Overall","Rel",0.940831909538745,0.0147853854886607
"13","ResNMTF","0.1","Overall","Rec",0.927670231724133,0.045971748504569
"14","ResNMTF","0.1","Overall","F_score",0.931436876398001,0.0330836550755133
"15","ResNMTF","0.1","Overall","BiS",0.464884798819981,0.0173635639359803
"16","ResNMTF","0.15","Overall","CSR",0.9975,0.0175881617670362
"17","ResNMTF","0.15","Overall","Rel",0.936582772418913,0.0181009884900951
"18","ResNMTF","0.15","Overall","Rec",0.932663001166058,0.0288933603118155
"19","ResNMTF","0.15","Overall","F_score",0.933790872611695,0.0230875209588008
"20","ResNMTF","0.15","Overall","BiS",0.440545386392626,0.0160094633627352
"21","ResNMTF","0.2","Overall","CSR",0.995595238095238,0.0257397594415069
"22","ResNMTF","0.2","Overall","Rel",0.926967007296194,0.0240054320371051
"23","ResNMTF","0.2","Overall","Rec",0.920416255435736,0.0394094289879554
"24","ResNMTF","0.2","Overall","F_score",0.921985910788151,0.0328315683065711
"25","ResNMTF","0.2","Overall","BiS",0.420821877237988,0.0172766905939213
"26","ResNMTF","0.25","Overall","CSR",0.995,0.0246182981958665
"27","ResNMTF","0.25","Overall","Rel",0.931867409982022,0.01672602775238
"28","ResNMTF","0.25","Overall","Rec",0.92488638345509,0.0379703667114885
"29","ResNMTF","0.25","Overall","F_score",0.926911275314261,0.0293484166624777
"30","ResNMTF","0.25","Overall","BiS",0.403744762050673,0.011994940992863
"31","ResNMTF","0.3","Overall","CSR",0.985595238095238,0.0416553272551989
"32","ResNMTF","0.3","Overall","Rel",0.929635339092221,0.0163292998829703
"33","ResNMTF","0.3","Overall","Rec",0.910276733421091,0.0608368112110018
"34","ResNMTF","0.3","Overall","F_score",0.915632922348339,0.0462946742600461
