"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","ResNMTF","5","Overall","CSR",0.99875,0.0125
"2","ResNMTF","5","Overall","Rel",0.936108111358536,0.0268448961776678
"3","ResNMTF","5","Overall","Rec",0.934748852099277,0.0372146202545497
"4","ResNMTF","5","Overall","F_score",0.935361879839968,0.0322426883595431
"5","ResNMTF","5","Overall","BiS",0.467315969515077,0.0343796730264887
"6","ResNMTF","10","Overall","CSR",1,0
"7","ResNMTF","10","Overall","Rel",0.999885057471264,0.000808651115725763
"8","ResNMTF","10","Overall","Rec",0.999885057471264,0.000808651115725763
"9","ResNMTF","10","Overall","F_score",0.999885057471264,0.000808651115725763
"10","ResNMTF","10","Overall","BiS",0.77028374295523,0.0026539726654191
"11","ResNMTF","15","Overall","CSR",1,0
"12","ResNMTF","15","Overall","Rel",1,0
"13","ResNMTF","15","Overall","Rec",1,0
"14","ResNMTF","15","Overall","F_score",1,0
"15","ResNMTF","15","Overall","BiS",0.845398794729539,0.00127984340887038
"16","ResNMTF","20","Overall","CSR",1,0
"17","ResNMTF","20","Overall","Rel",1,0
"18","ResNMTF","20","Overall","Rec",1,0
"19","ResNMTF","20","Overall","F_score",1,0
"20","ResNMTF","20","Overall","BiS",0.883634170541034,0.00104626456026401
"21","ResNMTF","25","Overall","CSR",1,0
"22","ResNMTF","25","Overall","Rel",1,0
"23","ResNMTF","25","Overall","Rec",1,0
"24","ResNMTF","25","Overall","F_score",1,0
"25","ResNMTF","25","Overall","BiS",0.906638180072447,0.000730733731594946
"26","ResNMTF","30","Overall","CSR",1,0
"27","ResNMTF","30","Overall","Rel",1,0
"28","ResNMTF","30","Overall","Rec",1,0
"29","ResNMTF","30","Overall","F_score",1,0
"30","ResNMTF","30","Overall","BiS",0.922250508158,0.00060127308248806
"31","ResNMTF","35","Overall","CSR",1,0
"32","ResNMTF","35","Overall","Rel",1,0
"33","ResNMTF","35","Overall","Rec",1,0
"34","ResNMTF","35","Overall","F_score",1,0
"35","ResNMTF","35","Overall","BiS",0.933339483527625,0.000614457198438414
"36","ResNMTF","40","Overall","CSR",1,0
"37","ResNMTF","40","Overall","Rel",1,0
"38","ResNMTF","40","Overall","Rec",1,0
"39","ResNMTF","40","Overall","F_score",1,0
"40","ResNMTF","40","Overall","BiS",0.941543321588846,0.000513290523587724
"41","ResNMTF","45","Overall","CSR",1,0
"42","ResNMTF","45","Overall","Rel",1,0
"43","ResNMTF","45","Overall","Rec",1,0
"44","ResNMTF","45","Overall","F_score",1,0
"45","ResNMTF","45","Overall","BiS",0.948148592089653,0.000418427781434589
"46","ResNMTF","50","Overall","CSR",1,0
"47","ResNMTF","50","Overall","Rel",1,0
"48","ResNMTF","50","Overall","Rec",1,0
"49","ResNMTF","50","Overall","F_score",1,0
"50","ResNMTF","50","Overall","BiS",0.95322506600554,0.000425231826238422
"51","ResNMTF","55","Overall","CSR",1,0
"52","ResNMTF","55","Overall","Rel",1,0
"53","ResNMTF","55","Overall","Rec",1,0
"54","ResNMTF","55","Overall","F_score",1,0
"55","ResNMTF","55","Overall","BiS",0.957558984570961,0.000385778904005068
"56","ResNMTF","60","Overall","CSR",1,0
"57","ResNMTF","60","Overall","Rel",1,0
"58","ResNMTF","60","Overall","Rec",1,0
"59","ResNMTF","60","Overall","F_score",1,0
"60","ResNMTF","60","Overall","BiS",0.961069711459032,0.000312952742382723
"61","ResNMTF","65","Overall","CSR",1,0
"62","ResNMTF","65","Overall","Rel",1,0
"63","ResNMTF","65","Overall","Rec",1,0
"64","ResNMTF","65","Overall","F_score",1,0
"65","ResNMTF","65","Overall","BiS",0.964029418594197,0.000286240141767689
"66","ResNMTF","70","Overall","CSR",1,0
"67","ResNMTF","70","Overall","Rel",1,0
"68","ResNMTF","70","Overall","Rec",1,0
"69","ResNMTF","70","Overall","F_score",1,0
"70","ResNMTF","70","Overall","BiS",0.966553802889751,0.000301600638052582
"71","ResNMTF","75","Overall","CSR",1,0
"72","ResNMTF","75","Overall","Rel",1,0
"73","ResNMTF","75","Overall","Rec",1,0
"74","ResNMTF","75","Overall","F_score",1,0
"75","ResNMTF","75","Overall","BiS",0.968827549236515,0.000258349712871863
"76","ResNMTF","80","Overall","CSR",1,0
"77","ResNMTF","80","Overall","Rel",1,0
"78","ResNMTF","80","Overall","Rec",1,0
"79","ResNMTF","80","Overall","F_score",1,0
"80","ResNMTF","80","Overall","BiS",0.97082602215302,0.000243274517424841
"81","ResNMTF","85","Overall","CSR",1,0
"82","ResNMTF","85","Overall","Rel",1,0
"83","ResNMTF","85","Overall","Rec",1,0
"84","ResNMTF","85","Overall","F_score",1,0
"85","ResNMTF","85","Overall","BiS",0.97252123105517,0.000233372424408387
"86","ResNMTF","90","Overall","CSR",1,0
"87","ResNMTF","90","Overall","Rel",1,0
"88","ResNMTF","90","Overall","Rec",1,0
"89","ResNMTF","90","Overall","F_score",1,0
"90","ResNMTF","90","Overall","BiS",0.974050646950534,0.000217814834453058
"91","ResNMTF","95","Overall","CSR",1,0
"92","ResNMTF","95","Overall","Rel",1,0
"93","ResNMTF","95","Overall","Rec",1,0
"94","ResNMTF","95","Overall","F_score",1,0
"95","ResNMTF","95","Overall","BiS",0.975390418980315,0.000192647621974591
"96","ResNMTF","100","Overall","CSR",1,0
"97","ResNMTF","100","Overall","Rel",1,0
"98","ResNMTF","100","Overall","Rec",1,0
