"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","5","Overall","CSR",0.166666666666667,0
"2","iSSVD","5","Overall","Rel",0,0
"3","iSSVD","5","Overall","Rec",0,0
"4","iSSVD","5","Overall","F_score",0,0
"5","iSSVD","5","Overall","BiS",0,0
"6","iSSVD","10","Overall","CSR",0.875833333333333,0.134263903321515
"7","iSSVD","10","Overall","Rel",0.163505969849575,0.0343329806286076
"8","iSSVD","10","Overall","Rec",0.21898399203109,0.00512680988267696
"9","iSSVD","10","Overall","F_score",0.185117733528581,0.0236334720040603
"10","iSSVD","10","Overall","BiS",0.0433458248983407,0.0129402661425354
"11","iSSVD","15","Overall","CSR",0.985833333333333,0.0314604306723863
"12","iSSVD","15","Overall","Rel",0.194190825383358,0.0129461973324421
"13","iSSVD","15","Overall","Rec",0.220340599396591,0.00453737220479616
"14","iSSVD","15","Overall","F_score",0.206216085043142,0.00843460570731944
"15","iSSVD","15","Overall","BiS",0.0899530254070997,0.0354107914116346
"16","iSSVD","20","Overall","CSR",0.993333333333333,0.0227216603620241
"17","iSSVD","20","Overall","Rel",0.197387339341198,0.00928381524988637
"18","iSSVD","20","Overall","Rec",0.220773845888392,0.00406146868822483
"19","iSSVD","20","Overall","F_score",0.208304134283457,0.00614377690411321
"20","iSSVD","20","Overall","BiS",0.0989108863302351,0.0179263621007468
"21","iSSVD","25","Overall","CSR",0.999166666666667,0.0083333333333333
"22","iSSVD","25","Overall","Rel",0.200003334616675,0.00381920075194654
"23","iSSVD","25","Overall","Rec",0.221330991613992,0.00326411856404162
"24","iSSVD","25","Overall","F_score",0.210109445731908,0.00321673887032305
"25","iSSVD","25","Overall","BiS",0.108184947914595,0.0132031875204749
"26","iSSVD","30","Overall","CSR",1,0
"27","iSSVD","30","Overall","Rel",0.199652143889347,0.00213097826709511
"28","iSSVD","30","Overall","Rec",0.219965444803488,0.00426195653419028
"29","iSSVD","30","Overall","F_score",0.20931189314372,0.00310593721782258
"30","iSSVD","30","Overall","BiS",0.101545454487028,0.0068823149305695
"31","iSSVD","35","Overall","CSR",1,0
"32","iSSVD","35","Overall","Rel",0.199839210246039,0.00171973413673657
"33","iSSVD","35","Overall","Rec",0.220339577516872,0.00343946827347318
"34","iSSVD","35","Overall","F_score",0.209585689442959,0.00250595577169923
"35","iSSVD","35","Overall","BiS",0.0997757539960369,0.00259364347154053
"36","iSSVD","40","Overall","CSR",1,0
"37","iSSVD","40","Overall","Rel",0.200277468356906,0.00191596783894803
"38","iSSVD","40","Overall","Rec",0.221216093738605,0.00383193567789614
"39","iSSVD","40","Overall","F_score",0.210222624300123,0.00279086880429029
"40","iSSVD","40","Overall","BiS",0.102562246481226,0.00257332801083185
"41","iSSVD","45","Overall","CSR",1,0
"42","iSSVD","45","Overall","Rel",0.199815893816542,0.00227677471033845
"43","iSSVD","45","Overall","Rec",0.220292944657877,0.00455354942067699
"44","iSSVD","45","Overall","F_score",0.209549950178577,0.00331809511420585
"45","iSSVD","45","Overall","BiS",0.10373773026608,0.00332727102741685
"46","iSSVD","50","Overall","CSR",1,0
"47","iSSVD","50","Overall","Rel",0.200114098455872,0.00171883530264212
"48","iSSVD","50","Overall","Rec",0.220889353936538,0.00343767060528432
"49","iSSVD","50","Overall","F_score",0.209985409324544,0.00250378957466705
"50","iSSVD","50","Overall","BiS",0.105961245994121,0.00286967613988162
"51","iSSVD","55","Overall","CSR",1,0
"52","iSSVD","55","Overall","Rel",0.200335001075977,0.00195333471418637
