"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",1,0
"2","ResNMTF","2","Overall","Rel",1,0
"3","ResNMTF","2","Overall","Rec",1,0
"4","ResNMTF","2","Overall","F_score",1,0
"5","ResNMTF","2","Overall","BiS",0.5649955136258,0.00223404731279762
"6","ResNMTF","3","Overall","CSR",1,0
"7","ResNMTF","3","Overall","Rel",1,0
"8","ResNMTF","3","Overall","Rec",1,0
"9","ResNMTF","3","Overall","F_score",1,0
"10","ResNMTF","3","Overall","BiS",0.564796907279059,0.00192463424183383
"11","ResNMTF","4","Overall","CSR",1,0
"12","ResNMTF","4","Overall","Rel",1,0
"13","ResNMTF","4","Overall","Rec",1,0
"14","ResNMTF","4","Overall","F_score",1,0
"15","ResNMTF","4","Overall","BiS",0.564810609967903,0.00152849977039304
"16","ResNMTF","5","Overall","CSR",1,0
"17","ResNMTF","5","Overall","Rel",1,0
"18","ResNMTF","5","Overall","Rec",1,0
"19","ResNMTF","5","Overall","F_score",1,0
"20","ResNMTF","5","Overall","BiS",0.564813331164746,0.00132473810526055
"21","GFA","2","Overall","CSR",0.838333333333333,0.0285744346662943
"22","GFA","2","Overall","Rel",0.341856018073627,0.0591183556478044
"23","GFA","2","Overall","Rec",0.221385857747559,0.039644495767065
"24","GFA","2","Overall","F_score",0.26775727872211,0.0456756953523578
"25","GFA","2","Overall","BiS",0.297460247136478,0.146756540352065
"26","GFA","3","Overall","CSR",0.833333333333333,0
"27","GFA","3","Overall","Rel",0.344341746916038,0.0564265160117123
"28","GFA","3","Overall","Rec",0.220351456682993,0.0397945878402149
"29","GFA","3","Overall","F_score",0.26770851970303,0.0447010428411289
"30","GFA","3","Overall","BiS",0.301929176536961,0.146944543377159
"31","GFA","4","Overall","CSR",0.833333333333333,0
"32","GFA","4","Overall","Rel",0.350317054772982,0.0595195298183542
"33","GFA","4","Overall","Rec",0.226502722512701,0.0414861842363026
"34","GFA","4","Overall","F_score",0.27439083642827,0.0475971321193354
"35","GFA","4","Overall","BiS",0.317015245766327,0.139580959146256
"36","GFA","5","Overall","CSR",0.833333333333333,0
"37","GFA","5","Overall","Rel",0.346778325613663,0.0636850824068586
"38","GFA","5","Overall","Rec",0.224254167113845,0.0422328067799205
"39","GFA","5","Overall","F_score",0.271758006085415,0.0495592124893534
"40","GFA","5","Overall","BiS",0.315546743793749,0.147684315887705
"41","iSSVD","2","Overall","CSR",0.25,0
"42","iSSVD","2","Overall","Rel",0,0
"43","iSSVD","2","Overall","Rec",0,0
"44","iSSVD","2","Overall","F_score",0,0
"45","iSSVD","2","Overall","BiS",0,0
"46","iSSVD","3","Overall","CSR",0.25,0
"47","iSSVD","3","Overall","Rel",0,0
"48","iSSVD","3","Overall","Rec",0,0
"49","iSSVD","3","Overall","F_score",0,0
"50","iSSVD","3","Overall","BiS",0,0
"51","iSSVD","4","Overall","CSR",0.25,0
"52","iSSVD","4","Overall","Rel",0,0
"53","iSSVD","4","Overall","Rec",0,0
"54","iSSVD","4","Overall","F_score",0,0
"55","iSSVD","4","Overall","BiS",0,0
"56","iSSVD","5","Overall","CSR",0.25,0
"57","iSSVD","5","Overall","Rel",0,0
"58","iSSVD","5","Overall","Rec",0,0
"59","iSSVD","5","Overall","F_score",0,0
"60","iSSVD","5","Overall","BiS",0,0
"61","NMTF","2","Overall","CSR",1,0
"62","NMTF","2","Overall","Rel",1,0
"63","NMTF","2","Overall","Rec",1,0
"64","NMTF","2","Overall","F_score",1,0
"65","NMTF","2","Overall","BiS",0.5649955136258,0.00223404731279762
"66","NMTF","3","Overall","CSR",0.999166666666667,0.00586272058901206
"67","NMTF","3","Overall","Rel",0.999504661411984,0.00393613782314971
"68","NMTF","3","Overall","Rec",0.999807667316439,0.00173739501527434
"69","NMTF","3","Overall","F_score",0.999651889586806,0.00285525708602293
"70","NMTF","3","Overall","BiS",0.564772159197054,0.00189556782642811
"71","NMTF","4","Overall","CSR",0.9990625,0.00535770649993017
"72","NMTF","4","Overall","Rel",0.999775888205938,0.00149983092714761
"73","NMTF","4","Overall","Rec",0.999985380116959,0.00014619883040935
"74","NMTF","4","Overall","F_score",0.999878327324027,0.000776108499059021
"75","NMTF","4","Overall","BiS",0.564791551342457,0.00155329558210534
"76","NMTF","5","Overall","CSR",0.99975,0.0025
"77","NMTF","5","Overall","Rel",0.999921819576263,0.000575732681964868
"78","NMTF","5","Overall","Rec",0.999977375131819,0.000159265227483274
"79","NMTF","5","Overall","F_score",0.999949206117734,0.000321601045579032
"80","NMTF","5","Overall","BiS",0.564774919999693,0.00134803835881229
