"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",0.973777777777778,0.0464010935106858
"2","ResNMTF","2","Overall","Rel",0.867408751594678,0.0528024787581968
"3","ResNMTF","2","Overall","Rec",0.8382079013199,0.0974773797139767
"4","ResNMTF","2","Overall","F_score",0.851563035319746,0.0760922886377587
"5","ResNMTF","2","Overall","BiS",0.450742952962641,0.0323917993489112
"6","ResNMTF","3","Overall","CSR",0.934685185185185,0.0587153861491578
"7","ResNMTF","3","Overall","Rel",0.826992881005145,0.0571272907721746
"8","ResNMTF","3","Overall","Rec",0.755087043119579,0.115007782212301
"9","ResNMTF","3","Overall","F_score",0.787587656390455,0.0882817265015293
"10","ResNMTF","3","Overall","BiS",0.434018276663986,0.0351680014319236
"11","ResNMTF","4","Overall","CSR",0.904638888888889,0.052369433065872
"12","ResNMTF","4","Overall","Rel",0.813319544579763,0.0599120753051482
"13","ResNMTF","4","Overall","Rec",0.706020031281944,0.111748286673229
"14","ResNMTF","4","Overall","F_score",0.754053717026862,0.0890602753791808
"15","ResNMTF","4","Overall","BiS",0.429918737255168,0.0430417630947745
"16","ResNMTF","5","Overall","CSR",0.875066666666667,0.0619599893426118
"17","ResNMTF","5","Overall","Rel",0.782609511026362,0.0506375027007498
"18","ResNMTF","5","Overall","Rec",0.64274226420229,0.115210826345594
"19","ResNMTF","5","Overall","F_score",0.703208943037105,0.0907534749848376
"20","ResNMTF","5","Overall","BiS",0.405622511708088,0.0408827701994023
"21","ResNMTF (no s.a.)","2","Overall","CSR",0.965694444444444,0.0499818756900284
"22","ResNMTF (no s.a.)","2","Overall","Rel",0.8618602470495,0.0567434324210047
"23","ResNMTF (no s.a.)","2","Overall","Rec",0.830217701096555,0.107949005247906
"24","ResNMTF (no s.a.)","2","Overall","F_score",0.844413154845803,0.0829510877046486
"25","ResNMTF (no s.a.)","2","Overall","BiS",0.447662613048111,0.0324405674695601
"26","ResNMTF (no s.a.)","3","Overall","CSR",0.925222222222222,0.0509323228305594
"27","ResNMTF (no s.a.)","3","Overall","Rel",0.817407729655289,0.0430484716307473
"28","ResNMTF (no s.a.)","3","Overall","Rec",0.752027988075909,0.111253652313483
"29","ResNMTF (no s.a.)","3","Overall","F_score",0.780988761704465,0.0768704616578441
"30","ResNMTF (no s.a.)","3","Overall","BiS",0.42678175801934,0.0305905117174471
"31","ResNMTF (no s.a.)","4","Overall","CSR",0.893847222222222,0.0366952107844202
"32","ResNMTF (no s.a.)","4","Overall","Rel",0.791630632021139,0.0292583589976795
"33","ResNMTF (no s.a.)","4","Overall","Rec",0.699276769910702,0.105372592300871
"34","ResNMTF (no s.a.)","4","Overall","F_score",0.739435878764619,0.0664217081056104
"35","ResNMTF (no s.a.)","4","Overall","BiS",0.41366935994591,0.0284987593740444
"36","ResNMTF (no s.a.)","5","Overall","CSR",0.871444444444445,0.0555276023951968
"37","ResNMTF (no s.a.)","5","Overall","Rel",0.772508364872423,0.0411627137624982
"38","ResNMTF (no s.a.)","5","Overall","Rec",0.637778477338265,0.109636962082907
"39","ResNMTF (no s.a.)","5","Overall","F_score",0.695641491477948,0.0814210491213207
"40","ResNMTF (no s.a.)","5","Overall","BiS",0.399652827722645,0.0350315506656572
"41","NMTF","2","Overall","CSR",0.970416666666667,0.0343906729736348
"42","NMTF","2","Overall","Rel",0.853953004790404,0.0405973810303497
"43","NMTF","2","Overall","Rec",0.831074627537456,0.0729001179475716
"44","NMTF","2","Overall","F_score",0.841033056379309,0.05670068934262
"45","NMTF","2","Overall","BiS",0.434154640695906,0.0256205580534041
"46","NMTF","3","Overall","CSR",0.970301994301994,0.0277394028508024
"47","NMTF","3","Overall","Rel",0.856370610612855,0.0306160722961644
"48","NMTF","3","Overall","Rec",0.834369013110679,0.0560608418292593
"49","NMTF","3","Overall","F_score",0.843674595789801,0.0430997279171274
"50","NMTF","3","Overall","BiS",0.433985497392871,0.0206900430602346
"51","NMTF","4","Overall","CSR",0.969,0.0275777591023431
"52","NMTF","4","Overall","Rel",0.853090827190896,0.0258368173255962
"53","NMTF","4","Overall","Rec",0.824697985990374,0.0530335701489172
"54","NMTF","4","Overall","F_score",0.837138180404232,0.0400234656124671
"55","NMTF","4","Overall","BiS",0.432787117646726,0.0155388797335451
"56","NMTF","5","Overall","CSR",0.968411111111111,0.0230919884411424
"57","NMTF","5","Overall","Rel",0.85407160415243,0.0276215920315205
"58","NMTF","5","Overall","Rec",0.826400623015163,0.0486879530184611
"59","NMTF","5","Overall","F_score",0.838721443398795,0.0384158778695104
"60","NMTF","5","Overall","BiS",0.43612562681366,0.0167309561719679
"61","NMTF (no s.a.)","2","Overall","CSR",0.969638888888889,0.0366291832180959
"62","NMTF (no s.a.)","2","Overall","Rel",0.858867777638494,0.0419744196636189
"63","NMTF (no s.a.)","2","Overall","Rec",0.826409798624987,0.0759072838226155
"64","NMTF (no s.a.)","2","Overall","F_score",0.841089542006933,0.0600720303108885
"65","NMTF (no s.a.)","2","Overall","BiS",0.438879235747506,0.0280445009993981
"66","NMTF (no s.a.)","3","Overall","CSR",0.971203703703704,0.0302685222521944
"67","NMTF (no s.a.)","3","Overall","Rel",0.856958048238327,0.0376051902934997
"68","NMTF (no s.a.)","3","Overall","Rec",0.825840590784217,0.0660068614918108
"69","NMTF (no s.a.)","3","Overall","F_score",0.839845102809689,0.0527392447137887
"70","NMTF (no s.a.)","3","Overall","BiS",0.435657818815133,0.0249744082789409
"71","NMTF (no s.a.)","4","Overall","CSR",0.969097222222222,0.0309845000401168
"72","NMTF (no s.a.)","4","Overall","Rel",0.861006789737415,0.0309750183141352
"73","NMTF (no s.a.)","4","Overall","Rec",0.826483451692893,0.0617221647067591
"74","NMTF (no s.a.)","4","Overall","F_score",0.841650236974146,0.0475956648285489
"75","NMTF (no s.a.)","4","Overall","BiS",0.435287056151992,0.0190001063530029
"76","NMTF (no s.a.)","5","Overall","CSR",0.966833333333333,0.0271194146545126
"77","NMTF (no s.a.)","5","Overall","Rel",0.859793132067941,0.0278422899669735
"78","NMTF (no s.a.)","5","Overall","Rec",0.823418348281209,0.0544356483521887
"79","NMTF (no s.a.)","5","Overall","F_score",0.839677488461142,0.0419547326883541
"80","NMTF (no s.a.)","5","Overall","BiS",0.43754570408498,0.0160001811596766
