"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","3","Overall","CSR",0.9975,0.0175881617670362
"2","ResNMTF","3","Overall","Rel",0.999449404761905,0.00436762334860399
"3","ResNMTF","3","Overall","Rec",1,0
"4","ResNMTF","3","Overall","F_score",0.999719186663341,0.002233238341103
"5","ResNMTF","3","Overall","BiS",0.976414376804903,0.000143656643550681
"6","ResNMTF","4","Overall","CSR",0.999,0.01
"7","ResNMTF","4","Overall","Rel",0.999842857142857,0.00157142857142856
"8","ResNMTF","4","Overall","Rec",1,0
"9","ResNMTF","4","Overall","F_score",0.999920801111272,0.00079198888727634
"10","ResNMTF","4","Overall","BiS",0.976481717381472,0.000173301410220849
"11","ResNMTF","5","Overall","CSR",1,0
"12","ResNMTF","5","Overall","Rel",1,0
"13","ResNMTF","5","Overall","Rec",1,0
"14","ResNMTF","5","Overall","F_score",1,0
"15","ResNMTF","5","Overall","BiS",0.976540477229592,0.000191721743861043
"16","ResNMTF","6","Overall","CSR",0.994765151515152,0.0351121721225003
"17","ResNMTF","6","Overall","Rel",1,0
"18","ResNMTF","6","Overall","Rec",0.990833333333333,0.0602731809446762
"19","ResNMTF","6","Overall","F_score",0.994212121212121,0.0389025294193703
"20","ResNMTF","6","Overall","BiS",0.976569024947574,0.000218071276322224
"21","GFA","3","Overall","CSR",0.632156565656565,0.0509248978538146
"22","GFA","3","Overall","Rel",0.151593448660725,0.0233956266238312
"23","GFA","3","Overall","Rec",0.254992756109718,0.0463351135756148
"24","GFA","3","Overall","F_score",0.189146659709878,0.0288296915502831
"25","GFA","3","Overall","BiS",0.0495472587686423,0.108905542573011
"26","GFA","4","Overall","CSR",0.693496503496503,0.0553600832843939
"27","GFA","4","Overall","Rel",0.163823507383127,0.0329806852751167
"28","GFA","4","Overall","Rec",0.235039464180255,0.0492424575973804
"29","GFA","4","Overall","F_score",0.191927150714855,0.0364348165042199
"30","GFA","4","Overall","BiS",0.0321645525217299,0.0944118938628693
"31","GFA","5","Overall","CSR",0.737322344322344,0.0490971392814354
"32","GFA","5","Overall","Rel",0.152840764866206,0.0331876603957069
"33","GFA","5","Overall","Rec",0.212474579993506,0.0485894779112559
"34","GFA","5","Overall","F_score",0.17695159190007,0.0375156005548996
"35","GFA","5","Overall","BiS",0.0817519221142157,0.0853847060673765
"36","GFA","6","Overall","CSR",0.767350490196078,0.0394908851770089
"37","GFA","6","Overall","Rel",0.148922859955026,0.033531763210149
"38","GFA","6","Overall","Rec",0.207538971992557,0.0481628767859575
"39","GFA","6","Overall","F_score",0.17304046479036,0.038547076025634
"40","GFA","6","Overall","BiS",0.0944130426692553,0.0899921977801084
"41","iSSVD","3","Overall","CSR",0.3475,0.253498251742223
"42","iSSVD","3","Overall","Rel",0.0665200158541419,0.17295084846041
"43","iSSVD","3","Overall","Rec",0.0650257629805786,0.169065817782368
"44","iSSVD","3","Overall","F_score",0.0657644026697432,0.170986267729759
"45","iSSVD","3","Overall","BiS",0.0568894482621711,0.147917651554208
"46","iSSVD","4","Overall","CSR",0.28775,0.228148426568001
"47","iSSVD","4","Overall","Rel",0.0840835451016469,0.218744800752484
"48","iSSVD","4","Overall","Rec",0.069798465197416,0.181564428842217
"49","iSSVD","4","Overall","F_score",0.0762773934819199,0.198425889347112
"50","iSSVD","4","Overall","BiS",0.0704098152970096,0.183798384914745
"51","iSSVD","5","Overall","CSR",0.9,0
"52","iSSVD","5","Overall","Rel",0.374254393035202,0.0378555761834739
"53","iSSVD","5","Overall","Rec",0.349249350962147,0.0305473343599468
"54","iSSVD","5","Overall","F_score",0.361297098022375,0.0340085063177244
"55","iSSVD","5","Overall","BiS",0.370449359302284,0.0786304576207111
"56","iSSVD","6","Overall","CSR",0.445416666666667,0.183082070702717
"57","iSSVD","6","Overall","Rel",0.92581740389602,0.19294967868436
"58","iSSVD","6","Overall","Rec",0.19540226927764,0.0774057788321269
"59","iSSVD","6","Overall","F_score",0.301612639322631,0.0460655172849134
"60","iSSVD","6","Overall","BiS",0.974678421377653,0.225559645605676
"61","NMTF","3","Overall","CSR",0.979930555555556,0.0371013619651729
"62","NMTF","3","Overall","Rel",0.994255317460317,0.0129492389536337
"63","NMTF","3","Overall","Rec",0.99937037037037,0.00389489675418697
"64","NMTF","3","Overall","F_score",0.996745214730136,0.00780532870700189
"65","NMTF","3","Overall","BiS",0.97642325265647,0.000146711232094554
"66","NMTF","4","Overall","CSR",0.996,0.0136329962172145
"67","NMTF","4","Overall","Rel",0.999508928571429,0.00207727551550238
"68","NMTF","4","Overall","Rec",1,0
"69","NMTF","4","Overall","F_score",0.99975218394707,0.00104967431566418
"70","NMTF","4","Overall","BiS",0.976484114171872,0.000173454496352994
"71","NMTF","5","Overall","CSR",0.99625,0.0119843121360275
"72","NMTF","5","Overall","Rel",0.999427489177489,0.0028872855194513
"73","NMTF","5","Overall","Rec",1,0
"74","NMTF","5","Overall","F_score",0.999709375437785,0.00147034267797264
"75","NMTF","5","Overall","BiS",0.976544906178737,0.00019235125929812
"76","NMTF","6","Overall","CSR",0.997857142857143,0.0085244020205693
"77","NMTF","6","Overall","Rel",1,0
"78","NMTF","6","Overall","Rec",1,0
"79","NMTF","6","Overall","F_score",1,0
"80","NMTF","6","Overall","BiS",0.976576496907185,0.000213676134532776
