"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","3","Overall","CSR",1,0
"2","ResNMTF","3","Overall","Rel",1,0
"3","ResNMTF","3","Overall","Rec",1,0
"4","ResNMTF","3","Overall","F_score",1,0
"5","ResNMTF","3","Overall","BiS",0.569396862372503,0.041213112209696
"6","ResNMTF","4","Overall","CSR",0.995833333333333,0.0191902577696599
"7","ResNMTF","4","Overall","Rel",0.936897311780366,0.0330122804096827
"8","ResNMTF","4","Overall","Rec",0.930895852745574,0.0495316198466843
"9","ResNMTF","4","Overall","F_score",0.933528882733931,0.0411006148994302
"10","ResNMTF","4","Overall","BiS",0.474815317740111,0.0625985847976396
"11","ResNMTF","5","Overall","CSR",0.939712962962963,0.0706313822377984
"12","ResNMTF","5","Overall","Rel",0.900256497156896,0.0684013086340039
"13","ResNMTF","5","Overall","Rec",0.814745764169099,0.134990543894132
"14","ResNMTF","5","Overall","F_score",0.848673859468009,0.10486142185221
"15","ResNMTF","5","Overall","BiS",0.471782757691879,0.0639051506293632
"16","ResNMTF","6","Overall","CSR",0.890545454545455,0.0993293084851286
"17","ResNMTF","6","Overall","Rel",0.909686652812073,0.060850587881398
"18","ResNMTF","6","Overall","Rec",0.755354200005084,0.138754974690984
"19","ResNMTF","6","Overall","F_score",0.801762034666474,0.112833301785983
"20","ResNMTF","6","Overall","BiS",0.460074100808262,0.0726677291073774
"21","GFA","3","Overall","CSR",0.831363636363636,0.0196969696969697
"22","GFA","3","Overall","Rel",0.344562990886678,0.0614805795648463
"23","GFA","3","Overall","Rec",0.220868607933166,0.0417766301872181
"24","GFA","3","Overall","F_score",0.267683409485973,0.0475887280295343
"25","GFA","3","Overall","BiS",0.284006275778961,0.14781616477196
"26","GFA","4","Overall","CSR",0.874423076923077,0.0222402390952267
"27","GFA","4","Overall","Rel",0.308315561868586,0.0989861109592924
"28","GFA","4","Overall","Rec",0.215103427339792,0.0762324819105059
"29","GFA","4","Overall","F_score",0.251846646122408,0.0821037465937933
"30","GFA","4","Overall","BiS",0.199342493519683,0.111762179994174
"31","GFA","5","Overall","CSR",0.910333333333333,0.0372135524352149
"32","GFA","5","Overall","Rel",0.263102794699685,0.0588524569363149
"33","GFA","5","Overall","Rec",0.205618404195499,0.045138134449583
"34","GFA","5","Overall","F_score",0.230170495374252,0.0492389351478772
"35","GFA","5","Overall","BiS",0.159725604017346,0.0590404529894208
"36","GFA","6","Overall","CSR",0.923055555555556,0.0322821050432464
"37","GFA","6","Overall","Rel",0.250675531271043,0.0554356997651073
"38","GFA","6","Overall","Rec",0.205257730183015,0.0508750399047318
"39","GFA","6","Overall","F_score",0.225159386690778,0.0515112591729437
"40","GFA","6","Overall","BiS",0.150144929537201,0.0473518509286275
"41","iSSVD","3","Overall","CSR",0.2575,0.075
"42","iSSVD","3","Overall","Rel",0.00511692429647245,0.0511692429647245
"43","iSSVD","3","Overall","Rec",0.00500198176773682,0.0500198176773682
"44","iSSVD","3","Overall","F_score",0.00505880020536486,0.0505880020536486
"45","iSSVD","3","Overall","BiS",0.00432080258053624,0.0432080258053624
"46","iSSVD","4","Overall","CSR",0.875,0
"47","iSSVD","4","Overall","Rel",0.749035653261453,0.0151528462019755
"48","iSSVD","4","Overall","Rec",0.61615954662611,0.0113974377137153
"49","iSSVD","4","Overall","F_score",0.676129894798836,0.0130361103048005
"50","iSSVD","4","Overall","BiS",0.395665800031198,0.0230872598297127
"51","iSSVD","5","Overall","CSR",0.174,0.0733333333333333
"52","iSSVD","5","Overall","Rel",0.00342358691444057,0.0342358691444057
"53","iSSVD","5","Overall","Rec",0.00323886953155246,0.0323886953155246
"54","iSSVD","5","Overall","F_score",0.00332853398334506,0.0332853398334506
"55","iSSVD","5","Overall","BiS",0.00297843115831256,0.0297843115831256
"56","iSSVD","6","Overall","CSR",0.150595238095238,0.0773809523809524
"57","iSSVD","6","Overall","Rel",0.00414617362371446,0.0414617362371446
"58","iSSVD","6","Overall","Rec",0.00362875579753983,0.0362875579753983
"59","iSSVD","6","Overall","F_score",0.00387023948637733,0.0387023948637733
"60","iSSVD","6","Overall","BiS",0.00388274820904815,0.0388274820904815
"61","NMTF","3","Overall","CSR",0.999027777777778,0.00691069238828116
"62","NMTF","3","Overall","Rel",0.999503835825353,0.00105970235581335
"63","NMTF","3","Overall","Rec",0.997294841116358,0.0221969993111563
"64","NMTF","3","Overall","F_score",0.997843769661278,0.0166496379220703
"65","NMTF","3","Overall","BiS",0.566749694610655,0.0455033731967085
"66","NMTF","4","Overall","CSR",0.971547619047619,0.0241168833759033
"67","NMTF","4","Overall","Rel",0.905594896154475,0.0299043084617036
"68","NMTF","4","Overall","Rec",0.871654978326737,0.0544046481297494
"69","NMTF","4","Overall","F_score",0.886497154423743,0.0422762180233894
"70","NMTF","4","Overall","BiS",0.473791818436476,0.0557551861818872
"71","NMTF","5","Overall","CSR",0.869851851851852,0.0524724894947216
"72","NMTF","5","Overall","Rel",0.818845700498285,0.0484606838934503
"73","NMTF","5","Overall","Rec",0.658663521406779,0.097979037057875
"74","NMTF","5","Overall","F_score",0.723270704060374,0.0749843112004569
"75","NMTF","5","Overall","BiS",0.423395735524418,0.0621065065314553
"76","NMTF","6","Overall","CSR",0.891773569023569,0.0911494954022134
"77","NMTF","6","Overall","Rel",0.84813965567509,0.0553123332008859
"78","NMTF","6","Overall","Rec",0.700842562524929,0.107282478229316
"79","NMTF","6","Overall","F_score",0.746035552981866,0.0840170654127527
"80","NMTF","6","Overall","BiS",0.394962374016364,0.0793412817966358
