"","Method","overlap","Choice","Measure","Mean","S.d."
"1","ResNMTF","0","Overall","CSR",0.997191011235955,0.018631520459898
"2","ResNMTF","0","Overall","Rel",0.939374155648961,0.0155695922474996
"3","ResNMTF","0","Overall","Rec",0.934990834511927,0.0294427659774146
"4","ResNMTF","0","Overall","F_score",0.93624614876823,0.0226995297672813
"5","ResNMTF","0","Overall","BiS",0.461867721161329,0.0162152291642163
"6","ResNMTF","0.05","Overall","CSR",0.991385767790262,0.0414980699789454
"7","ResNMTF","0.05","Overall","Rel",0.693603295096008,0.0157586373554727
"8","ResNMTF","0.05","Overall","Rec",0.684991478602782,0.0524219205325398
"9","ResNMTF","0.05","Overall","F_score",0.688465725702849,0.0364396707816182
"10","ResNMTF","0.05","Overall","BiS",0.348414551970902,0.0136861667832246
"11","ResNMTF","0.1","Overall","CSR",0.835205992509363,0.0978333742744821
"12","ResNMTF","0.1","Overall","Rel",0.632529263364589,0.0135931884484508
"13","ResNMTF","0.1","Overall","Rec",0.468483178666169,0.0977324639807539
"14","ResNMTF","0.1","Overall","F_score",0.533122450092483,0.0599075887440565
"15","ResNMTF","0.1","Overall","BiS",0.303735891791719,0.00896116630460206
"16","ResNMTF","0.15","Overall","CSR",0.780274656679151,0.0235555084445858
"17","ResNMTF","0.15","Overall","Rel",0.631916674221595,0.0159533052101701
"18","ResNMTF","0.15","Overall","Rec",0.411771911653964,0.024893323954593
"19","ResNMTF","0.15","Overall","F_score",0.498307388057579,0.018193989294854
"20","ResNMTF","0.15","Overall","BiS",0.307345008305289,0.00789781659251727
"21","ResNMTF","0.2","Overall","CSR",0.777777777777778,0
"22","ResNMTF","0.2","Overall","Rel",0.590544353412514,0.0186362263137226
"23","ResNMTF","0.2","Overall","Rec",0.376483272697621,0.0111346312398632
"24","ResNMTF","0.2","Overall","F_score",0.459815732631894,0.0139455311457895
"25","ResNMTF","0.2","Overall","BiS",0.284822637426668,0.0108789435453937
"26","ResNMTF","0.25","Overall","CSR",0.777777777777778,0
"27","ResNMTF","0.25","Overall","Rel",0.563644281171981,0.0213083798414947
"28","ResNMTF","0.25","Overall","Rec",0.356392235212446,0.0128188871756288
"29","ResNMTF","0.25","Overall","F_score",0.436672026160345,0.0160094955660388
"30","ResNMTF","0.25","Overall","BiS",0.269309457290285,0.0139981355270532
"31","ResNMTF","0.3","Overall","CSR",0.777777777777778,0
"32","ResNMTF","0.3","Overall","Rel",0.56020975836571,0.0206967381424553
"33","ResNMTF","0.3","Overall","Rec",0.352836028035035,0.0124897214046328
"34","ResNMTF","0.3","Overall","F_score",0.432970847800204,0.0155796423331107
"35","ResNMTF","0.3","Overall","BiS",0.263648747061479,0.013842454557356
"36","ResNMTF","0.35","Overall","CSR",0.777777777777778,0
"37","ResNMTF","0.35","Overall","Rel",0.521515092648093,0.0220470636084666
"38","ResNMTF","0.35","Overall","Rec",0.323916705068016,0.013222275276741
"39","ResNMTF","0.35","Overall","F_score",0.399622867673144,0.0165324817677417
"40","ResNMTF","0.35","Overall","BiS",0.266600924453015,0.0144528732673858
"41","ResNMTF","0.4","Overall","CSR",0.777777777777778,0
"42","ResNMTF","0.4","Overall","Rel",0.485471193426381,0.0238336557623754
"43","ResNMTF","0.4","Overall","Rec",0.300011415101625,0.0141286516932517
"44","ResNMTF","0.4","Overall","F_score",0.370845529048066,0.0177462152062443
