"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","50","Overall","CSR",0.967703703703704,0.0563445163366106
"2","ResNMTF","50","Overall","Rel",0.819118021042941,0.0470694606677592
"3","ResNMTF","50","Overall","Rec",0.782385253953434,0.0993147931770669
"4","ResNMTF","50","Overall","F_score",0.798533574111082,0.0744664248553461
"5","ResNMTF","50","Overall","BiS",0.463526442056569,0.0512953301370763
"6","ResNMTF","200","Overall","CSR",0.990009259259259,0.0303399057806448
"7","ResNMTF","200","Overall","Rel",0.906140595259666,0.0404921441711418
"8","ResNMTF","200","Overall","Rec",0.894143574056636,0.0694734777365073
"9","ResNMTF","200","Overall","F_score",0.899235193420282,0.0554799194989265
"10","ResNMTF","200","Overall","BiS",0.460225875332785,0.0260155691989652
"11","ResNMTF","300","Overall","CSR",0.986453703703704,0.0387542998645497
"12","ResNMTF","300","Overall","Rel",0.896818512520427,0.0438851156472254
"13","ResNMTF","300","Overall","Rec",0.880921221910833,0.0832809859194669
"14","ResNMTF","300","Overall","F_score",0.887690202465239,0.0655664358138896
"15","ResNMTF","300","Overall","BiS",0.442669344586154,0.0227366592502035
"16","ResNMTF","500","Overall","CSR",0.969694444444444,0.0603996803698907
"17","ResNMTF","500","Overall","Rel",0.87853902446196,0.0607113557465984
"18","ResNMTF","500","Overall","Rec",0.841831094970724,0.119278287021924
"19","ResNMTF","500","Overall","F_score",0.856453940970846,0.0931476460592763
"20","ResNMTF","500","Overall","BiS",0.418513338002172,0.0301990889699766
"21","ResNMTF","1000","Overall","CSR",0.917916666666667,0.0814458028839774
"22","ResNMTF","1000","Overall","Rel",0.821931357758197,0.0716938719880306
"23","ResNMTF","1000","Overall","Rec",0.728859776806916,0.153445918111571
"24","ResNMTF","1000","Overall","F_score",0.767418378479575,0.118202098438063
"25","ResNMTF","1000","Overall","BiS",0.392742329250554,0.024207956111111
"26","GFA","50","Overall","CSR",0.91,0.0301511344577764
"27","GFA","50","Overall","Rel",0.239885578917519,0.079503627699642
"28","GFA","50","Overall","Rec",0.193927358735556,0.075496881560452
"29","GFA","50","Overall","F_score",0.21387310325012,0.0763387047575657
"30","GFA","50","Overall","BiS",0.134453250787732,0.0814593981232649
"31","GFA","200","Overall","CSR",0.901,0.01
"32","GFA","200","Overall","Rel",0.271566841014153,0.0520396134283931
"33","GFA","200","Overall","Rec",0.205144481556705,0.0413651772470222
"34","GFA","200","Overall","F_score",0.233279256197221,0.0446590549944683
"35","GFA","200","Overall","BiS",0.166547441608983,0.0688098497120462
"36","GFA","300","Overall","CSR",0.902666666666667,0.0149296893100835
"37","GFA","300","Overall","Rel",0.272064970631361,0.0481563132837015
"38","GFA","300","Overall","Rec",0.208281884940814,0.0405830473363016
"39","GFA","300","Overall","F_score",0.235370560738212,0.0414832923739566
"40","GFA","300","Overall","BiS",0.171696889633814,0.0609716735439444
"41","GFA","500","Overall","CSR",0.917589743589744,0.0396919984969958
"42","GFA","500","Overall","Rel",0.277412879817337,0.0694908125384528
"43","GFA","500","Overall","Rec",0.224188746485731,0.052585963008713
"44","GFA","500","Overall","F_score",0.246774040970205,0.0573272207275198
"45","GFA","500","Overall","BiS",0.163051762442467,0.0700639001033982
"46","GFA","1000","Overall","CSR",0.928924908424908,0.0636683303650787
"47","GFA","1000","Overall","Rel",0.238759478096786,0.0670116277537194
"48","GFA","1000","Overall","Rec",0.226240080575109,0.0573156584864146
"49","GFA","1000","Overall","F_score",0.229904704483122,0.0564416140720706
"50","GFA","1000","Overall","BiS",0.124968105404457,0.071288511301735
"51","iSSVD","50","Overall","CSR",0.166666666666667,0
"52","iSSVD","50","Overall","Rel",0,0
"53","iSSVD","50","Overall","Rec",0,0
"54","iSSVD","50","Overall","F_score",0,0
"55","iSSVD","50","Overall","BiS",0,0
"56","iSSVD","200","Overall","CSR",0.166666666666667,0
"57","iSSVD","200","Overall","Rel",0,0
"58","iSSVD","200","Overall","Rec",0,0
"59","iSSVD","200","Overall","F_score",0,0
"60","iSSVD","200","Overall","BiS",0,0
"61","iSSVD","300","Overall","CSR",0.166666666666667,0
"62","iSSVD","300","Overall","Rel",0,0
"63","iSSVD","300","Overall","Rec",0,0
"64","iSSVD","300","Overall","F_score",0,0
"65","iSSVD","300","Overall","BiS",0,0
"66","iSSVD","500","Overall","CSR",0.166666666666667,0
"67","iSSVD","500","Overall","Rel",0,0
"68","iSSVD","500","Overall","Rec",0,0
"69","iSSVD","500","Overall","F_score",0,0
"70","iSSVD","500","Overall","BiS",0,0
"71","iSSVD","1000","Overall","CSR",0.166666666666667,0
"72","iSSVD","1000","Overall","Rel",0,0
"73","iSSVD","1000","Overall","Rec",0,0
"74","iSSVD","1000","Overall","F_score",0,0
"75","iSSVD","1000","Overall","BiS",0,0
"76","NMTF","50","Overall","CSR",0.937842592592593,0.0449236571045399
"77","NMTF","50","Overall","Rel",0.798373098317477,0.0308805797333433
"78","NMTF","50","Overall","Rec",0.729655506318559,0.066330682480652
"79","NMTF","50","Overall","F_score",0.757035668566429,0.0481864811165739
"80","NMTF","50","Overall","BiS",0.433338704031133,0.0252919424442079
"81","NMTF","200","Overall","CSR",0.91187037037037,0.0353370568013009
"82","NMTF","200","Overall","Rel",0.807854434441435,0.0324965075538303
"83","NMTF","200","Overall","Rec",0.712084268018945,0.0680609815675903
"84","NMTF","200","Overall","F_score",0.751678864735338,0.052571688907671
"85","NMTF","200","Overall","BiS",0.405313268836734,0.0195951725243247
"86","NMTF","300","Overall","CSR",0.890481481481482,0.0414245741606405
"87","NMTF","300","Overall","Rel",0.793878860184654,0.0321497030691532
"88","NMTF","300","Overall","Rec",0.671993023153738,0.074227902590338
"89","NMTF","300","Overall","F_score",0.72251879913105,0.0562789216394897
"90","NMTF","300","Overall","BiS",0.399760600972419,0.0176724255492071
"91","NMTF","500","Overall","CSR",0.882444444444445,0.0398705488678915
"92","NMTF","500","Overall","Rel",0.791229477029732,0.0378354308157216
"93","NMTF","500","Overall","Rec",0.661493753060052,0.0792238719894604
"94","NMTF","500","Overall","F_score",0.714357909908102,0.0613152473366489
"95","NMTF","500","Overall","BiS",0.394546503144524,0.0202171288592802
"96","NMTF","1000","Overall","CSR",0.862074074074074,0.0412691307259769
"97","NMTF","1000","Overall","Rel",0.780066785054866,0.0355451228241951
"98","NMTF","1000","Overall","Rec",0.625585572697843,0.0758940581900268
"99","NMTF","1000","Overall","F_score",0.688423404595393,0.0577215082705391
"100","NMTF","1000","Overall","BiS",0.391123106181789,0.0181083875770459
