"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","ResNMTF","1","Overall","CSR",0.9740625,0.047140335533142
"2","ResNMTF","1","Overall","Rel",0.270534862171151,0.0253896093656754
"3","ResNMTF","1","Overall","Rec",0.274239699134765,0.0325580772785954
"4","ResNMTF","1","Overall","F_score",0.271552886543224,0.0259579771924678
"5","ResNMTF","1","Overall","BiS",-0.0378802998686514,0.0303473794926997
"6","ResNMTF","2","Overall","CSR",0.9809375,0.0419545696881939
"7","ResNMTF","2","Overall","Rel",0.273120465559968,0.0254788699585747
"8","ResNMTF","2","Overall","Rec",0.276185632697597,0.0312194752623555
"9","ResNMTF","2","Overall","F_score",0.274040037346543,0.0260856859064514
"10","ResNMTF","2","Overall","BiS",-0.0382147672737203,0.0311533198427405
"11","ResNMTF","3","Overall","CSR",0.977905844155844,0.0525475512808687
"12","ResNMTF","3","Overall","Rel",0.272090986881135,0.0251065123649922
"13","ResNMTF","3","Overall","Rec",0.275172947511269,0.0346037505796899
"14","ResNMTF","3","Overall","F_score",0.272765125544387,0.0277691750104521
"15","ResNMTF","3","Overall","BiS",-0.0371976331230345,0.0293963710111812
"16","ResNMTF","4","Overall","CSR",0.978104707792208,0.051712535425785
"17","ResNMTF","4","Overall","Rel",0.27251879002489,0.0231030853534479
"18","ResNMTF","4","Overall","Rec",0.274160907823497,0.0363604930804653
"19","ResNMTF","4","Overall","F_score",0.272507252477402,0.0279987662366539
"20","ResNMTF","4","Overall","BiS",-0.0378030694343091,0.0318438175704307
"21","ResNMTF","5","Overall","CSR",0.9796875,0.0446671498100326
"22","ResNMTF","5","Overall","Rel",0.27228468687899,0.0239107585075308
"23","ResNMTF","5","Overall","Rec",0.269905630641006,0.0367724341293126
"24","ResNMTF","5","Overall","F_score",0.270460204338615,0.0289294425719779
"25","ResNMTF","5","Overall","BiS",-0.0389489275879982,0.0261250735252852
"26","ResNMTF","6","Overall","CSR",0.98015625,0.0421764372508776
"27","ResNMTF","6","Overall","Rel",0.272864656022093,0.0246491468055935
"28","ResNMTF","6","Overall","Rec",0.275664855322364,0.0315628353028303
"29","ResNMTF","6","Overall","F_score",0.27361894206862,0.0257676963327268
"30","ResNMTF","6","Overall","BiS",-0.0331126992355205,0.0356062063539135
"31","ResNMTF","7","Overall","CSR",0.968125,0.0715973931708464
"32","ResNMTF","7","Overall","Rel",0.271594192804169,0.0309801747069374
"33","ResNMTF","7","Overall","Rec",0.266826379996188,0.0426645116771934
"34","ResNMTF","7","Overall","F_score",0.267233323834645,0.0323490979074813
"35","ResNMTF","7","Overall","BiS",-0.032202428018883,0.0292068126254405
"36","ResNMTF","8","Overall","CSR",0.9803125,0.0433366549765549
"37","ResNMTF","8","Overall","Rel",0.27003922014851,0.0253478688946086
"38","ResNMTF","8","Overall","Rec",0.27020188469531,0.0332686587623416
"39","ResNMTF","8","Overall","F_score",0.269501649954434,0.0273906234163166
"40","ResNMTF","8","Overall","BiS",-0.0351683300697304,0.0280936824338776
"41","ResNMTF","9","Overall","CSR",0.976428571428571,0.0530325519177009
"42","ResNMTF","9","Overall","Rel",0.269834087034442,0.0249820538680843
"43","ResNMTF","9","Overall","Rec",0.267283617815958,0.0384313141310396
"44","ResNMTF","9","Overall","F_score",0.267724338668648,0.0304689699880617
"45","ResNMTF","9","Overall","BiS",-0.0438304690792979,0.0330756645420609
"46","ResNMTF","10","Overall","CSR",0.9771875,0.0467612015281305
"47","ResNMTF","10","Overall","Rel",0.27021196326183,0.0237266386015178
"48","ResNMTF","10","Overall","Rec",0.265723603038128,0.0366326670310072
"49","ResNMTF","10","Overall","F_score",0.267262017053442,0.0288502724756485
"50","ResNMTF","10","Overall","BiS",-0.0332553972858325,0.0342827145289823
"51","GFA","1","Overall","CSR",0.642857142857143,0
"52","GFA","1","Overall","Rel",0.139416568156788,0.0656497006042729
"53","GFA","1","Overall","Rec",0.301075869413525,0.14608660074539
"54","GFA","1","Overall","F_score",0.190557140779357,0.0906343707236477
"55","GFA","1","Overall","BiS",-0.0435285010766351,0.0238577995895945
"56","GFA","2","Overall","CSR",0.642857142857143,0
"57","GFA","2","Overall","Rel",0.133569229261034,0.0692150230617688
"58","GFA","2","Overall","Rec",0.287992436675463,0.154292387703625
"59","GFA","2","Overall","F_score",0.18246786257816,0.0956149447448006
"60","GFA","2","Overall","BiS",-0.0411815235967938,0.0226725145106377
"61","GFA","3","Overall","CSR",0.642857142857143,0
"62","GFA","3","Overall","Rel",0.147831724811653,0.0713473753681798
"63","GFA","3","Overall","Rec",0.319984385151928,0.158688720625325
"64","GFA","3","Overall","F_score",0.202198094777991,0.0985043207481121
"65","GFA","3","Overall","BiS",-0.0369125719205517,0.0228339031494625
"66","GFA","4","Overall","CSR",0.642857142857143,0
"67","GFA","4","Overall","Rel",0.139776972446829,0.0706000321853849
"68","GFA","4","Overall","Rec",0.301540678480029,0.157466130239204
"69","GFA","4","Overall","F_score",0.190977535797375,0.0975541557967553
"70","GFA","4","Overall","BiS",-0.0439956373876617,0.020998272891123
"71","GFA","5","Overall","CSR",0.642857142857143,0
"72","GFA","5","Overall","Rel",0.132792484096993,0.0685968486520176
"73","GFA","5","Overall","Rec",0.285776087251653,0.152785160587838
"74","GFA","5","Overall","F_score",0.181298974035069,0.0947300611736927
"75","GFA","5","Overall","BiS",-0.0438039896045138,0.022022292764235
"76","GFA","6","Overall","CSR",0.642857142857143,0
"77","GFA","6","Overall","Rel",0.133723684134023,0.0738920751031694
"78","GFA","6","Overall","Rec",0.28809290549216,0.164204147656996
"79","GFA","6","Overall","F_score",0.182622868514891,0.101985917931713
"80","GFA","6","Overall","BiS",-0.0423388745867583,0.0199439092873064
"81","GFA","7","Overall","CSR",0.642857142857143,0
"82","GFA","7","Overall","Rel",0.137628323109014,0.0720709745592406
"83","GFA","7","Overall","Rec",0.296846666584436,0.160555970285881
"84","GFA","7","Overall","F_score",0.188028727955962,0.0995465854269085
"85","GFA","7","Overall","BiS",-0.0443755088644124,0.0236568837134745
"86","GFA","8","Overall","CSR",0.642857142857143,0
"87","GFA","8","Overall","Rel",0.142980209872187,0.0716167654470822
"88","GFA","8","Overall","Rec",0.308409044830903,0.1595104184982
"89","GFA","8","Overall","F_score",0.195346297571654,0.0989152396852173
"90","GFA","8","Overall","BiS",-0.0416990535417225,0.0229648163534472
"91","GFA","9","Overall","CSR",0.642857142857143,0
"92","GFA","9","Overall","Rel",0.147892634248953,0.0679814018910602
"93","GFA","9","Overall","Rec",0.319664362943558,0.151480411934948
"94","GFA","9","Overall","F_score",0.202203672183177,0.0938893093098563
"95","GFA","9","Overall","BiS",-0.0409238018507085,0.0243570183049923
"96","GFA","10","Overall","CSR",0.642857142857143,0
"97","GFA","10","Overall","Rel",0.121551811947204,0.0653867708583803
"98","GFA","10","Overall","Rec",0.261193014385354,0.145465640623824
"99","GFA","10","Overall","F_score",0.165852514094805,0.0903007084049508
"100","GFA","10","Overall","BiS",-0.0415473116163054,0.0224479861281757
"101","iSSVD","1","Overall","CSR",1,0
"102","iSSVD","1","Overall","Rel",0.778506195432,0.17287298967597
"103","iSSVD","1","Overall","Rec",0.781567007036321,0.164745661294429
"104","iSSVD","1","Overall","F_score",0.779922829833191,0.169054096051459
"105","iSSVD","1","Overall","BiS",0.269554569213224,0.104494021082987
"106","iSSVD","2","Overall","CSR",0.9984375,0.0139754248593737
