"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","0","Overall","CSR",0.2,0
"2","iSSVD","0","Overall","Rel",0,0
"3","iSSVD","0","Overall","Rec",0,0
"4","iSSVD","0","Overall","F_score",0,0
"5","iSSVD","0","Overall","BiS",0,0
"6","iSSVD","0.05","Overall","CSR",0.2,0
"7","iSSVD","0.05","Overall","Rel",0,0
"8","iSSVD","0.05","Overall","Rec",0,0
"9","iSSVD","0.05","Overall","F_score",0,0
"10","iSSVD","0.05","Overall","BiS",0,0
"11","iSSVD","0.1","Overall","CSR",0.226,0.106001715251988
"12","iSSVD","0.1","Overall","Rel",0.000221844293272865,0.00117100273282941
"13","iSSVD","0.1","Overall","Rec",0.000100481859410431,0.00072710622373476
"14","iSSVD","0.1","Overall","F_score",0.00013184074099825,0.000879362673508284
"15","iSSVD","0.1","Overall","BiS",0.0277486353119646,0.106953790837529
"16","iSSVD","0.15","Overall","CSR",0.743857142857143,0.222489707085098
"17","iSSVD","0.15","Overall","Rel",0.122760042462562,0.0588002075877651
"18","iSSVD","0.15","Overall","Rec",0.0579560394131486,0.0281228828511731
"19","iSSVD","0.15","Overall","F_score",0.0783345396622526,0.0376254899672325
"20","iSSVD","0.15","Overall","BiS",-0.00544243878131726,0.0146825234211333
"21","iSSVD","0.2","Overall","CSR",0.635,0.103979268662981
"22","iSSVD","0.2","Overall","Rel",0.297943757432512,0.0650547259471316
"23","iSSVD","0.2","Overall","Rec",0.0846002720623187,0.0117639324579995
"24","iSSVD","0.2","Overall","F_score",0.131254370778188,0.0194831259055732
"25","iSSVD","0.2","Overall","BiS",0.165901936000532,0.21244269094628
"26","iSSVD","0.25","Overall","CSR",0.521071428571429,0.0822979901557351
"27","iSSVD","0.25","Overall","Rel",0.573612299046299,0.124342270323831
"28","iSSVD","0.25","Overall","Rec",0.155826176081083,0.0773396445167508
"29","iSSVD","0.25","Overall","F_score",0.240387400314604,0.0798134510469032
"30","iSSVD","0.25","Overall","BiS",0.420967397637593,0.0859791780154936
"31","iSSVD","0.3","Overall","CSR",0.609892857142857,0.185017044321172
"32","iSSVD","0.3","Overall","Rel",0.64272357877039,0.109478236389757
"33","iSSVD","0.3","Overall","Rec",0.269727755212738,0.194352867028012
"34","iSSVD","0.3","Overall","F_score",0.350074953472319,0.173432637873486
"35","iSSVD","0.3","Overall","BiS",0.425241835384766,0.0578265711241175
"36","iSSVD","0.35","Overall","CSR",0.67125,0.200736491174098
"37","iSSVD","0.35","Overall","Rel",0.683609922926956,0.0792200910034428
"38","iSSVD","0.35","Overall","Rec",0.347913238415102,0.21059737833484
"39","iSSVD","0.35","Overall","F_score",0.42668278121081,0.18660632384165
"40","iSSVD","0.35","Overall","BiS",0.406592376377518,0.0634762686058129
"41","iSSVD","0.4","Overall","CSR",0.819642857142857,0.1502527417892
"42","iSSVD","0.4","Overall","Rel",0.720824945034657,0.0601787687156162
"43","iSSVD","0.4","Overall","Rec",0.523492268800926,0.156739742604867
"44","iSSVD","0.4","Overall","F_score",0.587698565106706,0.136889515765101
"45","iSSVD","0.4","Overall","BiS",0.388955038788411,0.0598715110324588
"46","iSSVD","0.45","Overall","CSR",0.8875,0.0376889180722205
"47","iSSVD","0.45","Overall","Rel",0.722259738456912,0.05711375201677
"48","iSSVD","0.45","Overall","Rec",0.60684408301923,0.0136625339268611
"49","iSSVD","0.45","Overall","F_score",0.658486780848323,0.029771660198855
"50","iSSVD","0.45","Overall","BiS",0.375541524216427,0.0621692340978109
"51","iSSVD","0.5","Overall","CSR",0.88,0.0246182981958665
"52","iSSVD","0.5","Overall","Rel",0.739479710407478,0.0376928399715555
"53","iSSVD","0.5","Overall","Rec",0.613182577059059,0.00795204605241058
"54","iSSVD","0.5","Overall","F_score",0.669967399649619,0.0191561121566697
"55","iSSVD","0.5","Overall","BiS",0.39108301974536,0.0297222240407635
"56","iSSVD","0.55","Overall","CSR",0.8775,0.0175881617670362
"57","iSSVD","0.55","Overall","Rel",0.744051668640079,0.0281056288903658
"58","iSSVD","0.55","Overall","Rec",0.61488178742984,0.00784401590282917
"59","iSSVD","0.55","Overall","F_score",0.673088982294944,0.015226305558301
"60","iSSVD","0.55","Overall","BiS",0.389380588864077,0.0352623188635438
"61","iSSVD","0.6","Overall","CSR",0.875,0
"62","iSSVD","0.6","Overall","Rel",0.748463011275339,0.0105005291906259
"63","iSSVD","0.6","Overall","Rec",0.615997320635078,0.00885627966547626
"64","iSSVD","0.6","Overall","F_score",0.675791959399552,0.0095440028160868
"65","iSSVD","0.6","Overall","BiS",0.393279107877454,0.00562131620525983
"66","iSSVD","0.65","Overall","CSR",0.875,0
"67","iSSVD","0.65","Overall","Rel",0.746145857078677,0.0130692372604896
"68","iSSVD","0.65","Overall","Rec",0.614502686028182,0.0105214362744496
"69","iSSVD","0.65","Overall","F_score",0.673949389709465,0.0116076316995255
"70","iSSVD","0.65","Overall","BiS",0.391958521559089,0.00754131460587234
"71","iSSVD","0.7","Overall","CSR",0.875,0
"72","iSSVD","0.7","Overall","Rel",0.746397935158768,0.0135077517850753
"73","iSSVD","0.7","Overall","Rec",0.614556606883255,0.0110643547070612
"74","iSSVD","0.7","Overall","F_score",0.674080448021764,0.0120847975101912
"75","iSSVD","0.7","Overall","BiS",0.39183506033465,0.00928749018706016
"76","iSSVD","0.75","Overall","CSR",0.875,0
"77","iSSVD","0.75","Overall","Rel",0.747518884809756,0.0121565259333687
"78","iSSVD","0.75","Overall","Rec",0.615306793713982,0.0101344323739314
"79","iSSVD","0.75","Overall","F_score",0.674986851320309,0.0109564143831918
"80","iSSVD","0.75","Overall","BiS",0.391718057318058,0.00826759384919688
"81","iSSVD","0.8","Overall","CSR",0.875,0
"82","iSSVD","0.8","Overall","Rel",0.747094033150881,0.0134875437878335
"83","iSSVD","0.8","Overall","Rec",0.614794364351355,0.0114339731986331
"84","iSSVD","0.8","Overall","F_score",0.674507785588383,0.0123145970461382
"85","iSSVD","0.8","Overall","BiS",0.391940594594498,0.00866443603575319
"86","iSSVD","0.85","Overall","CSR",0.875,0
"87","iSSVD","0.85","Overall","Rel",0.74685647555841,0.0126974977810916
"88","iSSVD","0.85","Overall","Rec",0.614863731891185,0.0103500975540223
"89","iSSVD","0.85","Overall","F_score",0.674453151636324,0.0113262244250212
"90","iSSVD","0.85","Overall","BiS",0.392085511220669,0.00805460216007507
"91","iSSVD","0.9","Overall","CSR",0.875,0
"92","iSSVD","0.9","Overall","Rel",0.748502393730809,0.0124455037762974
"93","iSSVD","0.9","Overall","Rec",0.616079453790175,0.0101276119069234
"94","iSSVD","0.9","Overall","F_score",0.675857752340324,0.0111025019530047
"95","iSSVD","0.9","Overall","BiS",0.392774327827044,0.00846148481442624
"96","iSSVD","0.95","Overall","CSR",0.875,0
"97","iSSVD","0.95","Overall","Rel",0.74785131296301,0.0120176753364638
"98","iSSVD","0.95","Overall","Rec",0.615606772900228,0.0100129600008768
"99","iSSVD","0.95","Overall","F_score",0.675307444012183,0.010860653457728
"100","iSSVD","0.95","Overall","BiS",0.392318190180875,0.00956353331197943
"101","iSSVD","1","Overall","CSR",0.875,0
"102","iSSVD","1","Overall","Rel",0.747891052057382,0.0120195205709339
"103","iSSVD","1","Overall","Rec",0.615558532055906,0.00982282532707463
"104","iSSVD","1","Overall","F_score",0.675292143146448,0.0107153478399017
"105","iSSVD","1","Overall","BiS",0.392553087754726,0.00703382935188511
