"","Method","Noise","Choice","Measure","Mean","S.d."
"1","ResNMTF","1","Overall","CSR",0.99875,0.0125
"2","ResNMTF","1","Overall","Rel",0.998615847022954,0.00268551337881575
"3","ResNMTF","1","Overall","Rec",0.996615847022954,0.0202262620009545
"4","ResNMTF","1","Overall","F_score",0.997187275594382,0.0145822973177524
"5","ResNMTF","1","Overall","BiS",0.68234656870769,0.00379815632589235
"6","ResNMTF","2","Overall","CSR",0.998,0.014070529413629
"7","ResNMTF","2","Overall","Rel",0.960333787026632,0.0292608260456045
"8","ResNMTF","2","Overall","Rec",0.958083787026632,0.042175062322435
"9","ResNMTF","2","Overall","F_score",0.959125109340682,0.0359093269777765
"10","ResNMTF","2","Overall","BiS",0.604939093574921,0.0311455819420078
"11","ResNMTF","3","Overall","CSR",0.992962962962963,0.0329318634109505
"12","ResNMTF","3","Overall","Rel",0.945452150407617,0.0446323679903459
"13","ResNMTF","3","Overall","Rec",0.937575434088015,0.0774806813798992
"14","ResNMTF","3","Overall","F_score",0.94095963328672,0.0630353645988637
"15","ResNMTF","3","Overall","BiS",0.557473392132034,0.0350492725508307
"16","ResNMTF","4","Overall","CSR",0.9915,0.0291330975650955
"17","ResNMTF","4","Overall","Rel",0.924228962644992,0.0402894452153321
"18","ResNMTF","4","Overall","Rec",0.913602746532248,0.0653761410323175
"19","ResNMTF","4","Overall","F_score",0.917819219162978,0.0528281985124558
"20","ResNMTF","4","Overall","BiS",0.505889510023834,0.0273810816818531
"21","ResNMTF","5","Overall","CSR",0.990527777777778,0.0342355796770686
"22","ResNMTF","5","Overall","Rel",0.902476329049901,0.0416478782729038
"23","ResNMTF","5","Overall","Rec",0.891413693824175,0.0725559125080571
"24","ResNMTF","5","Overall","F_score",0.896029252659226,0.0579030134306896
"25","ResNMTF","5","Overall","BiS",0.46019340895943,0.0279675099703033
"26","ResNMTF","6","Overall","CSR",0.981722222222222,0.0450678047346078
"27","ResNMTF","6","Overall","Rel",0.873325388745864,0.0463990424755707
"28","ResNMTF","6","Overall","Rec",0.851921275653801,0.0886264048697743
"29","ResNMTF","6","Overall","F_score",0.86079190821542,0.0687903642185442
"30","ResNMTF","6","Overall","BiS",0.414068347992186,0.0244817423304838
"31","ResNMTF","7","Overall","CSR",0.978398148148148,0.0491117451709691
"32","ResNMTF","7","Overall","Rel",0.856348360470781,0.0463474503945874
"33","ResNMTF","7","Overall","Rec",0.830989526500609,0.0903599098894829
"34","ResNMTF","7","Overall","F_score",0.841288053699871,0.0690540507140506
"35","ResNMTF","7","Overall","BiS",0.383046329540784,0.02521929423209
"36","ResNMTF","8","Overall","CSR",0.965851851851852,0.0632420039706027
"37","ResNMTF","8","Overall","Rel",0.828164294304184,0.0517401141719222
"38","ResNMTF","8","Overall","Rec",0.790902960263506,0.11583738431998
"39","ResNMTF","8","Overall","F_score",0.807051328204621,0.0881067186218985
"40","ResNMTF","8","Overall","BiS",0.351826011847971,0.0215750820580795
"41","ResNMTF","9","Overall","CSR",0.9405,0.0806256301291511
"42","ResNMTF","9","Overall","Rel",0.803756566776917,0.0545215247378465
"43","ResNMTF","9","Overall","Rec",0.738284421999959,0.138077881165467
"44","ResNMTF","9","Overall","F_score",0.76545190595401,0.102843967919845
"45","ResNMTF","9","Overall","BiS",0.326095006580577,0.0177250791776312
"46","ResNMTF","10","Overall","CSR",0.916555555555556,0.0908232825830288
"47","ResNMTF","10","Overall","Rel",0.779346500021263,0.0510255009048648
"48","ResNMTF","10","Overall","Rec",0.688899189592112,0.147812407880863
"49","ResNMTF","10","Overall","F_score",0.726554080647916,0.108359867579756
"50","ResNMTF","10","Overall","BiS",0.306870521032215,0.0128850504232838
"51","ResNMTF","20","Overall","CSR",0.777777777777778,0
"52","ResNMTF","20","Overall","Rel",0.696570200659047,0.00892996075982179
"53","ResNMTF","20","Overall","Rec",0.457698972431839,0.00550014125582862
"54","ResNMTF","20","Overall","F_score",0.552417355583318,0.0068097568892174
"55","ResNMTF","20","Overall","BiS",0.214240752799862,0.00574472778034163
"56","ResNMTF","30","Overall","CSR",0.780222222222222,0.0171973137277687
"57","ResNMTF","30","Overall","Rel",0.674401017484382,0.0158432769275449
"58","ResNMTF","30","Overall","Rec",0.445982795420706,0.0160120500991324
"59","ResNMTF","30","Overall","F_score",0.536705570519359,0.0124514291956623
"60","ResNMTF","30","Overall","BiS",0.162065650443755,0.0089966395926876
"61","ResNMTF","40","Overall","CSR",0.782666666666667,0.024071224902625
"62","ResNMTF","40","Overall","Rel",0.644208677468512,0.023154888791552
"63","ResNMTF","40","Overall","Rec",0.428753653086165,0.0175416776854955
