"","Method","overlap","Choice","Measure","Mean","S.d."
"1","ResNMTF","0","Overall","CSR",0.778185185185185,0.00407407407407406
"2","ResNMTF","0","Overall","Rel",0.633666897072552,0.0144818584853103
"3","ResNMTF","0","Overall","Rec",0.412698842469006,0.00966068194820438
"4","ResNMTF","0","Overall","F_score",0.49981620952442,0.0112386738303835
"5","ResNMTF","0","Overall","BiS",0.328444790396579,0.00769027555006274
"6","ResNMTF","0.05","Overall","CSR",0.801731481481482,0.0708038971134217
"7","ResNMTF","0.05","Overall","Rel",0.64180642319602,0.0319596010515698
"8","ResNMTF","0.05","Overall","Rec",0.440310780216622,0.0664481357891362
"9","ResNMTF","0.05","Overall","F_score",0.519256466990287,0.0398153143908561
"10","ResNMTF","0.05","Overall","BiS",0.325878151951105,0.020505737139314
"11","ResNMTF","0.1","Overall","CSR",0.821222222222222,0.0878743306789209
"12","ResNMTF","0.1","Overall","Rel",0.632836677449662,0.0134381511633909
"13","ResNMTF","0.1","Overall","Rec",0.454854842731406,0.0882988400803849
"14","ResNMTF","0.1","Overall","F_score",0.52503976356625,0.0544090464564703
"15","ResNMTF","0.1","Overall","BiS",0.304825977184943,0.00766468359911856
"16","ResNMTF","0.15","Overall","CSR",0.962583333333333,0.0802967658971569
"17","ResNMTF","0.15","Overall","Rel",0.631961890370191,0.0181220757509763
"18","ResNMTF","0.15","Overall","Rec",0.60158274773539,0.0891960770287492
"19","ResNMTF","0.15","Overall","F_score",0.61286455657538,0.0571563415354559
"20","ResNMTF","0.15","Overall","BiS",0.287608355864566,0.0128113991622573
"21","ResNMTF","0.2","Overall","CSR",0.995,0.0198902713813284
"22","ResNMTF","0.2","Overall","Rel",0.647498475017852,0.0103203097232466
"23","ResNMTF","0.2","Overall","Rec",0.654872828385916,0.0300454997143977
"24","ResNMTF","0.2","Overall","F_score",0.650863888796662,0.0160082726807794
"25","ResNMTF","0.2","Overall","BiS",0.275927419673417,0.0106172084519069
"26","ResNMTF","0.25","Overall","CSR",0.987722222222222,0.0340668909863959
"27","ResNMTF","0.25","Overall","Rel",0.643591827437984,0.0139539796791277
"28","ResNMTF","0.25","Overall","Rec",0.655257418903197,0.0473631183896456
"29","ResNMTF","0.25","Overall","F_score",0.648587294019822,0.0271455421745911
"30","ResNMTF","0.25","Overall","BiS",0.254216339169028,0.0126577900086128
"31","ResNMTF","0.3","Overall","CSR",0.955111111111111,0.0853741134319694
"32","ResNMTF","0.3","Overall","Rel",0.633152093783379,0.0219136360295002
"33","ResNMTF","0.3","Overall","Rec",0.601649295950702,0.0991037340705521
"34","ResNMTF","0.3","Overall","F_score",0.613525058652644,0.0653446644124753
"35","ResNMTF","0.3","Overall","BiS",0.235454650220459,0.012032240533696
