"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","5","Overall","CSR",0.25,0
"2","iSSVD","5","Overall","Rel",0,0
"3","iSSVD","5","Overall","Rec",0,0
"4","iSSVD","5","Overall","F_score",0,0
"5","iSSVD","5","Overall","BiS",0,0
"6","iSSVD","10","Overall","CSR",0.975,0.109521456778795
"7","iSSVD","10","Overall","Rel",0.495520730226705,0.0708478670421238
"8","iSSVD","10","Overall","Rec",0.500198176773682,0
"9","iSSVD","10","Overall","F_score",0.494262806936734,0.0508964009810461
"10","iSSVD","10","Overall","BiS",0.273463441209205,0.0416984738115338
"11","iSSVD","15","Overall","CSR",1,0
"12","iSSVD","15","Overall","Rel",0.511692429647245,0
"13","iSSVD","15","Overall","Rec",0.500198176773682,0
"14","iSSVD","15","Overall","F_score",0.505880020536486,0
"15","iSSVD","15","Overall","BiS",0.333176734998088,0.00193369674040734
"16","iSSVD","20","Overall","CSR",1,0
"17","iSSVD","20","Overall","Rel",0.511692429647245,0
"18","iSSVD","20","Overall","Rec",0.500198176773682,0
"19","iSSVD","20","Overall","F_score",0.505880020536486,0
"20","iSSVD","20","Overall","BiS",0.361195397067775,0.00245380130065123
"21","iSSVD","25","Overall","CSR",1,0
"22","iSSVD","25","Overall","Rel",0.511692429647245,0
"23","iSSVD","25","Overall","Rec",0.500198176773682,0
"24","iSSVD","25","Overall","F_score",0.505880020536486,0
"25","iSSVD","25","Overall","BiS",0.379046038308153,0.00290220113626948
"26","iSSVD","30","Overall","CSR",1,0
"27","iSSVD","30","Overall","Rel",0.511692429647245,0
"28","iSSVD","30","Overall","Rec",0.500198176773682,0
"29","iSSVD","30","Overall","F_score",0.505880020536486,0
"30","iSSVD","30","Overall","BiS",0.391024209909188,0.0034060107202019
"31","iSSVD","35","Overall","CSR",1,0
"32","iSSVD","35","Overall","Rel",0.511692429647245,0
"33","iSSVD","35","Overall","Rec",0.500198176773682,0
"34","iSSVD","35","Overall","F_score",0.505880020536486,0
"35","iSSVD","35","Overall","BiS",0.400434046812383,0.00352979945213572
"36","iSSVD","40","Overall","CSR",1,0
"37","iSSVD","40","Overall","Rel",0.511692429647245,0
"38","iSSVD","40","Overall","Rec",0.500198176773682,0
"39","iSSVD","40","Overall","F_score",0.505880020536486,0
"40","iSSVD","40","Overall","BiS",0.406610648685237,0.00343721698415454
"41","iSSVD","45","Overall","CSR",1,0
"42","iSSVD","45","Overall","Rel",0.511692429647245,0
"43","iSSVD","45","Overall","Rec",0.500198176773682,0
"44","iSSVD","45","Overall","F_score",0.505880020536486,0
"45","iSSVD","45","Overall","BiS",0.412566095470356,0.00391611942936465
"46","iSSVD","50","Overall","CSR",1,0
"47","iSSVD","50","Overall","Rel",0.511692429647245,0
"48","iSSVD","50","Overall","Rec",0.500198176773682,0
"49","iSSVD","50","Overall","F_score",0.505880020536486,0
"50","iSSVD","50","Overall","BiS",0.416561042961444,0.00399806175182682
"51","iSSVD","55","Overall","CSR",1,0
"52","iSSVD","55","Overall","Rel",0.511692429647245,0
"53","iSSVD","55","Overall","Rec",0.500198176773682,0
