"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",0.971527777777778,0.051775700152919
"2","ResNMTF","2","Overall","Rel",0.868923253997643,0.0581697459184519
"3","ResNMTF","2","Overall","Rec",0.838466219269797,0.108827177970422
"4","ResNMTF","2","Overall","F_score",0.85215589684885,0.0853323923392946
"5","ResNMTF","2","Overall","BiS",0.450447433038178,0.0381233936120277
"6","ResNMTF","3","Overall","CSR",0.923907407407407,0.0516397075154059
"7","ResNMTF","3","Overall","Rel",0.81921822330278,0.0575528205548656
"8","ResNMTF","3","Overall","Rec",0.736145537022386,0.109968861397498
"9","ResNMTF","3","Overall","F_score",0.773956930965482,0.0857083481993246
"10","ResNMTF","3","Overall","BiS",0.430180838235599,0.0346930195600092
"11","ResNMTF","4","Overall","CSR",0.904069444444444,0.0601298810266645
"12","ResNMTF","4","Overall","Rel",0.812528422595228,0.0679990489911822
"13","ResNMTF","4","Overall","Rec",0.705682349354854,0.129766071816832
"14","ResNMTF","4","Overall","F_score",0.753078369681767,0.103486441008888
"15","ResNMTF","4","Overall","BiS",0.429688403276896,0.0487531769022578
"16","ResNMTF","5","Overall","CSR",0.871666666666667,0.0539585269790127
"17","ResNMTF","5","Overall","Rel",0.772864598539709,0.0405514566621355
"18","ResNMTF","5","Overall","Rec",0.631023857294114,0.0962942068621791
"19","ResNMTF","5","Overall","F_score",0.692737778283059,0.0763414368115406
"20","ResNMTF","5","Overall","BiS",0.402622057762472,0.0353377836773515
"21","GFA","2","Overall","CSR",0.9,0
"22","GFA","2","Overall","Rel",0.265241106075146,0.05368962979094
"23","GFA","2","Overall","Rec",0.199095252047607,0.0370388597174657
"24","GFA","2","Overall","F_score",0.227039877246298,0.0428303155595824
"25","GFA","2","Overall","BiS",0.163871095716987,0.0511722813054984
"26","GFA","3","Overall","CSR",0.903,0.0171446607997765
"27","GFA","3","Overall","Rel",0.268746924724537,0.0589366946198106
"28","GFA","3","Overall","Rec",0.202833098629275,0.0414059041208638
"29","GFA","3","Overall","F_score",0.230708552198008,0.0477293231596844
"30","GFA","3","Overall","BiS",0.161042917821006,0.0620870602647906
"31","GFA","4","Overall","CSR",0.9115,0.0316666666666667
"32","GFA","4","Overall","Rel",0.279240344784189,0.0730185108724906
"33","GFA","4","Overall","Rec",0.217401966030333,0.0653729232509564
"34","GFA","4","Overall","F_score",0.243665036102812,0.0671341719098359
"35","GFA","4","Overall","BiS",0.178666403317788,0.0632393643057089
"36","GFA","5","Overall","CSR",0.920166666666667,0.0401522774846631
"37","GFA","5","Overall","Rel",0.279590398414176,0.0742324642064058
"38","GFA","5","Overall","Rec",0.223401000780638,0.0699976267698447
"39","GFA","5","Overall","F_score",0.247503755542235,0.0704119874846452
"40","GFA","5","Overall","BiS",0.172411621965397,0.077575779339681
"41","iSSVD","2","Overall","CSR",0.166666666666667,0
"42","iSSVD","2","Overall","Rel",0,0
"43","iSSVD","2","Overall","Rec",0,0
"44","iSSVD","2","Overall","F_score",0,0
"45","iSSVD","2","Overall","BiS",0,0
"46","iSSVD","3","Overall","CSR",0.166666666666667,0
"47","iSSVD","3","Overall","Rel",0,0
"48","iSSVD","3","Overall","Rec",0,0
"49","iSSVD","3","Overall","F_score",0,0
"50","iSSVD","3","Overall","BiS",0,0
"51","iSSVD","4","Overall","CSR",0.166666666666667,0
"52","iSSVD","4","Overall","Rel",0,0
"53","iSSVD","4","Overall","Rec",0,0
"54","iSSVD","4","Overall","F_score",0,0
"55","iSSVD","4","Overall","BiS",0,0
"56","iSSVD","5","Overall","CSR",0.166666666666667,0
"57","iSSVD","5","Overall","Rel",0,0
"58","iSSVD","5","Overall","Rec",0,0
"59","iSSVD","5","Overall","F_score",0,0
"60","iSSVD","5","Overall","BiS",0,0
"61","NMTF","2","Overall","CSR",0.957861111111111,0.0421401363300056
"62","NMTF","2","Overall","Rel",0.847968659124564,0.043892234763214
"63","NMTF","2","Overall","Rec",0.802842322467804,0.085695553812934
"64","NMTF","2","Overall","F_score",0.822849857843314,0.0669551867285503
"65","NMTF","2","Overall","BiS",0.431466534226777,0.0273308403243159
"66","NMTF","3","Overall","CSR",0.967462962962963,0.0303426814824701
"67","NMTF","3","Overall","Rel",0.854292646408368,0.0356837804242705
"68","NMTF","3","Overall","Rec",0.819468990948325,0.064331807825113
"69","NMTF","3","Overall","F_score",0.835163297219394,0.0508672533521544
"70","NMTF","3","Overall","BiS",0.436450049992358,0.0232190101951135
"71","NMTF","4","Overall","CSR",0.964513888888889,0.0262755815111881
"72","NMTF","4","Overall","Rel",0.853146051065846,0.0301315698481081
"73","NMTF","4","Overall","Rec",0.814996707020957,0.0541791537420835
"74","NMTF","4","Overall","F_score",0.832088006932245,0.0432390915326328
"75","NMTF","4","Overall","BiS",0.432986923787045,0.0214457790021256
"76","NMTF","5","Overall","CSR",0.966222222222222,0.0245233905257443
"77","NMTF","5","Overall","Rel",0.856809861811589,0.0275256954159026
"78","NMTF","5","Overall","Rec",0.819628419417184,0.050434730219854
"79","NMTF","5","Overall","F_score",0.836145157330199,0.0398024795393053
"80","NMTF","5","Overall","BiS",0.437910185137024,0.0175223127918719
