month,tmax,tmin,af,rain,sun,season
1,8.7,2.7,5,39.5,53.0,0
2,9.0,2.9,5,69.8,64.9,0
3,13.9,5.7,2,25.4,96.7,1
4,14.2,5.2,1,5.7,169.6,1
5,16.2,6.5,0,21.3,195.0,1
6,23.6,10.7,0,22.4,284.5,2
7,22.5,13.8,0,87.0,152.3,2
8,21.1,12.5,0,86.2,154.4,2
9,17.6,10.1,0,51.7,88.5,3
10,15.5,7.7,0,47.0,85.9,3
11,9.4,4.3,2,59.5,67.5,3
12,7.6,1.0,11,42.1,40.8,0
1,6.8,0.9,10,64.3,40.1,0
2,8.9,1.9,10,58.7,45.7,0
3,8.1,1.1,10,26.0,105.2,1
4,12.3,3.8,3,29.5,153.2,1
5,17.3,7.8,0,59.5,189.2,1
6,19.4,10.7,0,104.3,152.2,2
7,21.7,12.9,0,51.9,190.5,2
8,20.8,13.1,0,75.2,103.1,2
9,20.0,12.1,0,83.8,134.8,3
10,14.9,8.3,0,50.7,94.2,3
11,9.7,4.4,1,50.7,40.8,3
12,8.0,2.7,2,85.1,29.6,0
1,5.7,-1.1,23,54.8,76.2,0
2,7.4,1.2,7,2.4,54.8,0
3,11.9,4.4,0,43.8,103.9,1
4,14.2,6.3,0,52.9,139.1,1
5,18.7,8.0,0,21.9,221.4,1
6,22.1,11.1,0,16.2,231.6,2
7,24.7,13.3,0,86.5,276.9,2
8,24.2,13.7,0,27.6,240.0,2
9,22.7,10.6,0,5.1,209.2,3
10,17.8,8.5,0,46.9,150.1,3
11,10.8,3.5,6,53.5,53.0,3
12,9.3,3.0,1,75.7,30.2,0
1,6.9,1.8,12,47.9,34.4,0
2,7.9,1.6,7,48.0,80.1,0
3,10.2,4.5,0,33.9,65.0,1
4,14.3,4.6,1,12.4,156.1,1
5,18.4,9.3,0,45.6,181.7,1
6,22.1,12.1,0,42.8,248.6,2
7,20.1,12.4,0,67.2,139.7,2
8,20.3,11.8,0,60.8,150.9,2
9,18.5,10.5,0,75.3,128.4,3
10,14.2,8.2,0,155.5,75.2,3
11,11.2,4.5,4,89.5,69.4,3
12,6.9,2.1,5,56.5,44.5,0
1,6.9,1.2,11,64.4,45.8,0
2,10.3,4.9,0,55.1,56.0,0
3,13.9,2.9,4,5.7,166.7,1
4,15.0,7.1,0,50.8,73.5,1
5,16.8,7.4,0,17.2,217.2,1
6,21.7,10.5,0,29.2,229.3,2
7,22.1,12.1,0,26.2,180.0,2
8,21.7,12.6,0,47.6,158.8,2
9,20.9,12.0,0,64.7,125.4,3
10,15.6,7.6,1,56.8,117.2,3
11,9.9,3.5,7,52.5,55.6,3
12,6.8,0.2,17,88.6,46.2,0
1,7.9,1.2,7,76.1,67.1,0
2,7.6,1.4,7,12.6,67.1,0
3,7.4,-0.6,16,35.8,111.4,1
4,12.7,4.7,0,41.8,142.7,1
5,15.0,7.1,0,29.6,157.9,1
6,20.4,9.4,0,6.1,260.5,2
7,20.6,12.1,0,82.8,135.0,2
8,20.0,11.6,0,52.9,173.6,2
9,17.8,9.6,0,88.4,152.0,3
10,15.7,7.1,1,37.6,114.4,3
11,9.1,3.2,8,41.7,33.6,3
12,5.0,-1.1,22,52.8,64.1,0
1,0.8,-4.6,28,12.9,38.4,0
2,2.8,-2.2,24,6.6,72.2,0
3,10.7,3.0,7,68.2,95.9,1
4,13.6,5.7,1,52.1,123.2,1
5,16.0,6.9,0,33.7,195.6,1
6,20.8,11.3,0,48.3,193.4,2
7,21.1,11.9,0,28.1,196.2,2
8,19.8,11.7,0,53.4,138.6,2
9,18.0,10.1,0,49.0,120.9,3
10,14.8,8.2,0,34.7,85.4,3
11,11.8,6.0,1,118.8,59.3,3
12,5.4,0.0,16,16.1,44.1,0
1,5.8,0.4,9,17.8,37.4,0
2,7.6,2.0,7,16.8,59.2,0
3,7.6,2.6,5,95.1,66.8,1
4,12.8,5.4,2,73.5,126.1,1
5,19.6,9.8,0,46.1,197.8,1
6,19.3,11.2,0,110.1,164.1,2
7,22.8,13.5,0,20.2,219.7,2
8,22.3,12.7,0,21.2,215.7,2
9,21.1,10.6,0,11.1,213.7,3
10,13.7,5.3,1,29.2,126.2,3
11,11.2,5.3,2,29.6,55.0,3
12,7.1,0.9,12,29.9,48.6,0
1,6.6,1.0,14,43.0,72.8,0
2,5.9,0.9,11,8.3,32.5,0
3,10.5,2.2,9,58.0,129.7,1
4,13.4,4.8,0,44.8,138.6,1
5,16.8,8.6,0,39.5,194.6,1
6,19.7,11.0,0,54.6,184.7,2
7,19.3,11.7,0,85.9,129.9,2
8,20.8,11.9,0,55.9,184.7,2
9,17.4,9.2,0,109.4,130.0,3
10,16.2,7.5,1,18.8,129.1,3
11,8.4,2.2,9,65.4,96.5,3
12,8.4,1.7,9,87.3,54.0,0
1,5.3,1.0,13,32.6,40.8,0
2,9.3,4.4,1,73.4,27.0,0
3,10.9,2.6,4,12.2,122.6,1
4,12.2,5.4,0,98.6,88.7,1
5,17.0,7.5,0,50.5,222.9,1
6,21.8,12.2,0,66.7,205.4,2
7,20.1,12.2,0,78.0,161.6,2
8,20.6,11.6,0,86.2,199.7,2
9,19.6,10.8,0,36.7,161.4,3
10,14.7,8.6,0,122.1,81.3,3
11,8.8,2.9,4,41.7,59.3,3
12,9.3,2.2,6,62.5,36.3,0
1,7.3,2.1,12,36.4,66.1,0
2,9.3,2.6,7,48.6,89.5,0
3,11.6,3.7,1,35.7,172.9,1
4,12.5,4.4,1,44.1,138.2,1
5,15.6,7.8,1,102.1,183.6,1
6,20.1,10.3,0,51.0,210.0,2
7,23.5,13.8,0,73.5,239.5,2
8,21.5,12.7,0,47.4,182.9,2
9,18.5,11.1,0,59.5,118.6,3
10,15.0,8.8,0,103.8,99.1,3
11,9.7,2.6,5,42.3,78.7,3
12,7.2,1.3,11,54.0,61.3,0
1,7.2,1.3,13,65.1,43.0,0
2,5.7,0.2,13,25.3,67.2,0
3,11.1,3.5,3,22.6,142.3,1
4,13.7,4.4,4,44.2,188.4,1
5,15.4,7.0,0,80.8,170.8,1
6,20.6,11.5,0,54.9,172.5,2
7,20.7,12.6,0,79.4,146.7,2
8,20.2,12.6,0,68.2,121.1,2
9,18.8,11.6,0,131.4,125.6,3
10,16.5,10.7,0,64.2,78.5,3
11,9.5,4.8,3,44.3,40.7,3
12,5.4,1.0,12,74.9,30.7,0
1,8.9,3.4,5,71.7,32.4,0
2,4.9,-0.9,15,45.0,70.5,0
3,8.0,1.3,7,56.0,66.8,1
4,13.6,3.9,4,20.3,207.6,1
5,17.1,8.6,0,59.5,149.1,1
6,20.6,10.2,0,26.6,262.8,2
7,23.9,13.9,0,68.7,229.2,2
8,21.8,13.6,0,93.0,141.3,2
9,19.6,11.7,0,3.1,118.5,3
10,18.2,9.9,0,5.1,117.3,3
11,9.6,3.3,7,68.7,71.1,3
12,6.1,1.4,9,46.1,18.5,0
1,7.1,2.1,9,67.7,31.9,0
2,7.2,0.8,12,39.9,105.5,0
3,8.1,0.7,13,37.6,99.7,1
4,11.4,3.7,3,59.5,122.7,1
5,19.2,9.2,0,25.1,219.2,1
6,23.6,12.7,0,70.1,273.3,2
7,21.3,12.3,0,53.0,181.3,2
8,22.3,13.0,0,53.6,184.3,2
9,20.3,11.4,0,49.8,157.0,3
10,15.7,8.1,0,10.4,100.9,3
11,11.9,5.5,1,151.2,59.8,3
12,7.0,1.7,10,38.5,45.3,0
1,7.8,2.8,6,70.5,42.5,0
2,8.6,1.9,5,16.6,72.6,0
3,9.1,2.3,7,42.4,104.7,1
4,12.2,4.8,1,47.3,121.5,1
5,18.1,8.2,0,76.7,232.9,1
6,17.8,10.1,0,127.7,145.4,2
7,24.1,13.8,0,19.3,224.1,2
8,21.3,13.5,0,64.4,147.5,2
9,20.7,10.2,0,11.1,173.9,3
